Country,Year,Incomegroup,Source,Gini
Liberia,1974,Low income,ILO 1984,43
Lithuania,1981,High income: nonOECD,Atkinson and Micklewright 1992,24.4
Luxembourg,1985,High income: OECD,"Atkinson,25.8
"Macedonia,MK,,32.2,
Madagascar,1960,Low income,Cromwell 1977,46
Malawi,1969,Low income,Jain 1975,47
Malaysia,1958,Upper middle income,Jain 1975,37.1
Maldives,1998,Upper middle income,WDI,63.3
Mali,1989,Low income,World Bank Poverty Monitoring Database 2002,36.5
Malta,2000,High income: nonOECD,Eurostat,30
Mauritania,1987,Lower middle income,"Deininger & Squire,76
Mauritius,1975,Upper middle income,WB Mauritius 1995,41.9
Mexico,1950,Upper middle income,Weisskoff 1970,52.6
"Micronesia,FM,,61.1,
Moldova,1981,Lower middle income,Atkinson and Micklewright 1992,22.9
Mongolia,1995,Lower middle income,WDI,33.2
Montenegro,2005,Upper middle income,WDI,30.1
Morocco,1955,Lower middle income,Cromwell 1977,48.6
Mozambique,1996,Low income,World Bank Poverty Monitoring Database 2002,39.6
Myanmar,1958,Low income,Cromwell 1977,31.8
Namibia,1993,Upper middle income,WDI,74.3
Nepal,1976,Low income,Dowling and Soo 1983,50.2
Netherlands,1938,High income: OECD,UN 1957,48
New Zealand,1954,High income: OECD,Easton 1983,66.6
Nicaragua,1993,Lower middle income,Gasparini 2003,55.9
Niger,1960,Low income,Cromwell 1977,29.2
Nigeria,1959,Lower middle income,Cromwell 1977,46.8
Norway,1957,High income: OECD,UN-ECE 1967,40
Pakistan,1963,Lower middle income,Mahmood 1984,35
Panama,1960,Upper middle income,Jain 1975,50
Papua New Guinea,1996,Lower middle income,"World Bank,50.9
Paraguay,1983,Lower middle income,Psacharopoulos et al. 1997,45.1
Peru,1961,Upper middle income,Jain 1975,61.2
Philippines,1957,Lower middle income,Fields 1989,45.2
Poland,1956,High income: OECD,Jain 1975,27
Portugal,1973,High income: OECD,UN 1981,40.6
Puerto Rico,1953,High income: nonOECD,Mann 1985,38.9
Qatar,2007,High income: nonOECD,Low Income Profiling and Income Distribution in Qatar,29.3
Reunion,1977,,Fields 1989,51
Romania,1989,Upper middle income,Rutkowski 1996,15.6
Russian Federation,1981,High income: nonOECD,Atkinson and Micklewright 1992,25.1
Rwanda,1984,Low income,World Bank Poverty Monitoring Database 2002,28.9
Sao Tome And Principe,2001,Lower middle income,WDI,50.8
Senegal,1960,Lower middle income,Cromwell 1977,52.4
Serbia,2002,Upper middle income,Transmonee 2008,31.1
Serbia And Montenegro,1963,,UN-ECE 1967,31.2
Seychelles,1978,Upper middle income,Fields 1989,46
Sierra Leone,1967,Low income,Fields 1989,59
Singapore,1966,High income: nonOECD,Rao and Ramakrishnan 1980,49.8
Slovak Republic,1958,High income: OECD,Atkinson and Micklewright 1992,30.6
Slovenia,1987,High income: OECD,Rutkowski 1996,19.9
Somalia,2002,Low income,Somalia Watching Brief,39.7
South Africa,1959,Upper middle income,Cromwell 1977,51.7
South Sudan,2009,Lower middle income,WDI,45.5
Spain,1965,High income: OECD,Jain 1975,38.9
Sri Lanka,1953,Lower middle income,"Sri Lanka,48.3
Srilanka,2012,,Household Income and Expenditure Survey Ð 2012/13 ,48
St. Lucia,1995,Upper middle income,WDI,42.6
Sudan,1963,Lower middle income,Jain 1975,44.6
Suriname,1962,Upper middle income,Paukert 1973,30
Swaziland,1974,Lower middle income,Lecaillon et al. 1984,63.7
Sweden,1935,High income: OECD,UN 1957,54
Switzerland,1978,High income: OECD,UN 1985,31.2
Syria,2004,Lower middle income,UNDP Poverty and Inequality in Syria Report,35.8
Taiwan,1953,,"Fei,55.8
Tajikistan,1981,Low income,Atkinson and Micklewright 1992,25.2
Tanzania,1964,Low income,Paukert 1973,54
Thailand,1962,Upper middle income,Dowling and Soo 1983,41.4
Togo,1957,Low income,Lecaillon et al. 1984,33.8
Trinidad And Tobago,1958,High income: nonOECD,Ahiram 1966,46
Tunisia,1961,Upper middle income,Jain 1975,44.4
Turkey,1952,Upper middle income,Hansen 1991,53
Turkmenistan,1981,Upper middle income,Atkinson and Micklewright 1992,26.2
Uganda,1970,Low income,Jain 1975,39.8
Ukraine,1968,Lower middle income,Atkinson and Micklewright 1992,24.6
United Kingdom,1867,High income: OECD,Collette 2000,57.5
United States,1944,High income: OECD,Brandolini 1998,43.6
Uruguay,1961,High income: nonOECD,Gonzales-Vega 1993,36.6
Ussr,1968,,Atkinson and Micklewright 1992,26.2
Uzbekistan,1981,Lower middle income,Atkinson and Micklewright 1992,24.8
Venezuela,1962,Upper middle income,Jain 1975,46.1
Vietnam,1993,Lower middle income,"Deininger & Squire,33.4
West Bank And Gaza,2007,Lower middle income,WDI,38.6
Yemen,1992,Lower middle income,World Bank Poverty Monitoring Database 2002,39.5
Yugoslavia,1963,,Jain 1975,34.5
Zambia,1959,Lower middle income,Cromwell 1977,43.2
Zimbabwe,1945,Low income,Cromwell 1977,46
