Country,Year,POP,Incomegroup,Gini,Source,Quality,Welfaredefn,IncSharU,UofAnala,Equivsc,Welfaredefn_new,Equivsc_new,IncSharU_new,UofAnala_new
Burkina Faso,1994,10.401025,Low income,48.2,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,1995,10.692138,Low income,39,"World Bank, Africa Department",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,1998,11.621159,Low income,69.6,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Burkina Faso,1998,11.621159,Low income,46.7,"World Bank, World Development Indicators 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,1998,11.621159,Low income,57.5,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,2003,13.395599,Low income,39.5,"World Bank, World Development Indicators 2007",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burkina Faso,2009,15.984479,Low income,39.8,WDI,Average,Income/Consumption,,,,Other,,,
Burundi,1992,5.835071,Low income,33.3,WDI,Average,Income/Consumption,,,,Other,,,
Burundi,1992,5.835071,Low income,33.3,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burundi,1998,6.223515,Low income,42.4,WDI,Average,Income/Consumption,,,,Other,,,
Burundi,1998,6.223515,Low income,42.4,"World Bank, World Development Indicators 2005",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Burundi,2006,7.474363,Low income,33.3,WDI,Average,Income/Consumption,,,,Other,,,
Cameroon,1983,9.929831,Lower middle income,49,WB Cameroon 1994,High,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cameroon,1996,14.287475,Lower middle income,61,"Deininger & Squire, World Bank 2004",Average,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Cameroon,1996,14.287475,Lower middle income,47.8,"Deininger & Squire, World Bank 2004",High,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cameroon,2001,16.039737,Lower middle income,40.4,WDI,Average,Income/Consumption,,,,Other,,,
Cameroon,2001,16.039737,Lower middle income,44.6,"World Bank, World Development Indicators 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cameroon,2007,18.350022,Lower middle income,39,IMF Cameroon Poverty Reduction Paper,High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Cabo Verde,2002,0.45274,Lower middle income,50.5,WDI,Average,Income/Consumption,,,,Other,,,
Central African Republic (CAR),1992,3.084958,Low income,55,Societe d'Appui a la Gestion Economique (SAGE) 1992,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Central African Republic (CAR),1992,3.084958,Low income,63.2,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Central African Republic (CAR),1992,3.084958,Low income,61.3,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Central African Republic (CAR),2003,3.890075,Low income,43.6,WDI,Average,Income/Consumption,,,,Other,,,
Central African Republic (CAR),2008,4.237961,Low income,56.3,WDI,Average,Income/Consumption,,,,Other,,,
Chad,1958,,Low income,29.6,Cromwell 1977,Not known,"Income, ..",,Person,,Other,,,Person
Chad,1958,,Low income,34.7,Lecaillon et al. 1984,Not known,Primary Income,Household,Person,No Adjustment,Other,Without Adjustment,Household,Person
Chad,1958,,Low income,36.9,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Chad,1958,,Low income,35,Paukert 1973,Not known,"Income, Gross",,Person,,"Income,Gross",,,Person
Chad,2003,9.153893,Low income,39.8,WDI,Average,Income/Consumption,,,,Other,,,
Republic of the Congo,1958,,Lower middle income,44.7,Lecaillon et al. 1984,Not known,Primary Income,,Person,,Other,,,Person
Republic of the Congo,1958,,Lower middle income,41.9,Cromwell 1977,Not known,"Income, ..",,,,Other,,,
Republic of the Congo,2005,3.533177,Lower middle income,47.3,WDI,Average,Income/Consumption,,,,Other,,,
Democratic Republic of the Congo,2006,59.088415,,44.4,WDI,Average,Income/Consumption,,,,Other,,,
Cote d'Ivoire,1959,,Lower middle income,39.6,Cromwell 1977,Not known,"Income, ..",,Person,,Other,,,Person
Cote d'Ivoire,1959,,Lower middle income,45.6,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Cote d'Ivoire,1959,,Lower middle income,43,Paukert 1973,Not known,"Income, Gross",,Person,,"Income,Gross",,,Person
Cote d'Ivoire,1970,5.416416,Lower middle income,53.4,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Cote d'Ivoire,1970,5.416416,Lower middle income,51.7,Lecaillon et al. 1984,Not known,Primary Income,,Person,,Other,,,Person
Cote d'Ivoire,1978,7.767109,Lower middle income,50,ILO 1984,Not known,"Monetary Income, ..",,Person,,Other,,,Person
Cote d'Ivoire,1985,10.494827,Lower middle income,55.3,Fields 1989,Average,"Income, ..",Household,Household,No Adjustment,Other,Without Adjustment,Household,Household
Cote d'Ivoire,1985,10.494827,Lower middle income,45.2,"Deininger & Squire, World Bank 2004",Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1985,10.494827,Lower middle income,41.2,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1986,10.896269,Lower middle income,43.8,"Deininger & Squire, World Bank 2004",Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1986,10.896269,Lower middle income,38.6,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1987,11.294791,Lower middle income,44.8,"Deininger & Squire, World Bank 2004",Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1987,11.294791,Lower middle income,40,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1988,11.694318,Lower middle income,42.8,"Deininger & Squire, World Bank 2004",Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1988,11.694318,Lower middle income,36.9,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1993,13.820229,Lower middle income,36.9,WDI,Average,Income/Consumption,,,,Other,,,
Cote d'Ivoire,1993,13.820229,Lower middle income,36.9,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1995,14.6772,Lower middle income,36.7,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1995,14.6772,Lower middle income,44.3,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,1998,15.878555,Lower middle income,40.8,Cogneau et al. (2013),High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,2002,17.180649,Lower middle income,46.2,Cogneau et al. (2013),High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Cote d'Ivoire,2008,18.987007,Lower middle income,44.7,Cogneau et al. (2013),High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Djibouti,1996,0.644434,Lower middle income,44.8,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Djibouti,1996,0.644434,Lower middle income,38.1,"World Bank, Africa Department",Low,Consumption,,Person,,Expenditure,,,Person
Djibouti,2002,0.765283,Lower middle income,40.9,IMF 2004,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,1958,27.3994523,Lower middle income,42.9,Cromwell 1977,Not known,"Income, ..",,,,Other,,,
Egypt,1959,28.05446376,Lower middle income,42,Fields 1989,Low,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,1959,28.05446376,Lower middle income,42,Hansen 1991,Low,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,1965,32.38287469,Lower middle income,40,Hansen 1991,Low,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,1965,32.38287469,Lower middle income,40,Fields 1989,Low,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,1965,32.38287469,Lower middle income,43.4,Jain 1975,Not known,"Income, ..",Household,Household,No Adjustment,Other,Without Adjustment,Household,Household
Egypt,1975,40.132189,Lower middle income,37,van Ginneken and Park 1984,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,1975,40.132189,Lower middle income,38,Fields 1989,Low,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,1975,40.132189,Lower middle income,38,Hansen 1991,Low,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,1991,57.952386,Lower middle income,32,WDI,Average,Income/Consumption,,,,Other,,,
Egypt,1991,57.952386,Lower middle income,32,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,1995,62.06381,Lower middle income,28.9,"World Bank, World Development Indicators 2000",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,1996,63.120498,Lower middle income,34.5,"El-Laithy, Lokshin and Arup 2003",High,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,1997,64.199588,Lower middle income,37.4,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,1997,64.199588,Lower middle income,53.8,"Deininger & Squire, World Bank 2004",Low,"Income, ..",Household,Person,Household per capita,Other,Household Per Capita,Household,Person
Egypt,2000,67.648419,Lower middle income,37.8,"El-Laithy, Lokshin and Arup 2003",High,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,2004,72.844998,Lower middle income,34.4,"World Bank, World Development Indicators 2008",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Egypt,2005,74.203215,Lower middle income,32.1,WDI,Average,Income/Consumption,,,,Other,,,
Egypt,2008,78.323298,Lower middle income,31.1,Egypt Income and Expenditure Survey,High,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Egypt,2010,81.121077,Lower middle income,31,Egypt Income and Expenditure Survey,High,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Ethiopia,1982,37.319328,Low income,32.4,WDI,Average,Income/Consumption,,,,Other,,,
Ethiopia,1995,57.042197,Low income,40,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ethiopia,1995,57.042197,Low income,28.7,"Deininger & Squire, World Bank 2004",Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ethiopia,1995,57.042197,Low income,46.4,"Deininger & Squire, World Bank 2004",Average,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Ethiopia,1995,57.042197,Low income,44.2,"World Bank, Africa Department",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ethiopia,1997,60.481739,Low income,45.9,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Ethiopia,1997,60.481739,Low income,44.1,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ethiopia,2000,65.577897,Low income,30,"World Bank, World Development Indicators 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ethiopia,2000,65.577897,Low income,30,WDI,Average,Income/Consumption,,,,Other,,,
Ethiopia,2005,74.263861,Low income,29.8,WDI,Average,Income/Consumption,,,,Other,,,
Ethiopia,2010,82.949541,Low income,29.8,Household and Consumption Expenditure Survey 2010/11,High,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Ethiopia,2011,84.734262,Low income,32.3,CEQ project,High,Market Income,Household,Person,Per Capita,"Income,Gross",Household Per Capita,Household,Person
Ethiopia,2011,84.734262,Low income,30.5,CEQ project,High,"Income,Disposable",Household,Person,Per Capita,"Income,Disposable",Household Per Capita,Household,Person
Gabon,1960,0.45895807,Upper middle income,58,Nssah 1995,Not known,Consumption,,Person,,Expenditure,,,Person
Gabon,1960,0.45895807,Upper middle income,69,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Gabon,1960,0.45895807,Upper middle income,64,Paukert 1973,Not known,"Income, Gross",,Person,,"Income,Gross",,,Person
Gabon,1960,0.45895807,Upper middle income,58.4,Cromwell 1977,Not known,"Income, ..",,Person,,Other,,,Person
Gabon,1968,0.511285112,Upper middle income,64.4,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Gabon,1968,0.511285112,Upper middle income,61.4,Lecaillon et al. 1984,Not known,Primary Income,,Person,,Other,,,Person
Gabon,1968,0.511285112,Upper middle income,56,Nssah 1995,Not known,Consumption,,Person,,Expenditure,,,Person
Gabon,1975,0.595417,Upper middle income,59.3,Kervyn 1980,Low,"Income,Disposable",,Household,,"Income,Disposable",,,Household
Gabon,1977,0.627846,Upper middle income,63.2,Kervyn 1980,Low,"Income,Disposable",,Household,,"Income,Disposable",,,Household
Gabon,1977,0.627846,Upper middle income,63,ILO 1984,Not known,"Income, ..",,Person,,Other,,,Person
Gabon,2005,1.370729,Upper middle income,41.5,WDI,Average,Income/Consumption,,,,Other,,,
Gambia,1992,1.033748,Low income,67.2,"Deininger & Squire, World Bank 2004",Low,"Monetary Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Gambia,1992,1.033748,Low income,39,"World Bank, Africa Department",Low,Consumption,,Person,,Expenditure,,,Person
Gambia,1992,1.033748,Low income,48.1,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Gambia,1992,1.033748,Low income,47.8,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Gambia,1993,1.064522,Low income,67.2,"Deininger & Squire, World Bank 2004",Low,"Monetary Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Gambia,1993,1.064522,Low income,60.9,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Gambia,1994,1.094974,Low income,59.4,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Gambia,1994,1.094974,Low income,69.2,"Deininger & Squire, World Bank 2004",Low,"Monetary Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Gambia,1998,1.225044,Low income,50.2,WDI,Average,Income/Consumption,,,,Other,,,
Gambia,1998,1.225044,Low income,47.5,"World Bank, World Development Indicators 2004",Low,Consumption,Household,Person,Per Capita,Expenditure,Household Per Capita,Household,Person
Gambia,2003,1.417818,Low income,47.3,WDI,Average,Income/Consumption,,,,Other,,,
Ghana,1987,13.638708,Lower middle income,38.1,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1987,13.638708,Lower middle income,47.5,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Ghana,1987,13.638708,Lower middle income,35.4,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1988,14.010951,Lower middle income,35.4,WDI,Average,Income/Consumption,,,,Other,,,
Ghana,1989,14.392619,Lower middle income,48.8,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Ghana,1989,14.392619,Lower middle income,46.2,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1989,14.392619,Lower middle income,36,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1992,15.655847,Lower middle income,33.9,World Bank Poverty Monitoring Database 2002,Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1992,15.655847,Lower middle income,46.1,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Ghana,1992,15.655847,Lower middle income,35.2,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1993,16.105502,Lower middle income,33.8,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1997,17.85525,Lower middle income,32.7,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1998,18.281113,Lower middle income,43.4,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Ghana,1999,18.715676,Lower middle income,40.8,"World Bank, World Development Indicators 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,1991,6.083795,Low income,46.8,"World Bank, World Development Report 1998/1999",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,1991,6.083795,Low income,48.6,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,1991,6.083795,Low income,68.5,"Deininger & Squire, World Bank 2004",Low,"Income, Gross",Household,Person,Household per capita,"Income,Gross",Household Per Capita,Household,Person
Guinea,1994,7.249558,Low income,40.3,"World Bank, World Development Indicators 1999",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,1994,7.249558,Low income,52.6,"Deininger & Squire, World Bank 2004",Average,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,1994,7.249558,Low income,40.4,"World Bank, Africa Department",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,2003,8.743954,Low income,38.6,"World Bank, World Development Indicators 2007",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea,2003,8.743954,Low income,40.3,WDI,Average,Income/Consumption,,,,Other,,,
Guinea,2007,9.373619,Low income,39.4,WDI,Average,Income/Consumption,,,,Other,,,
Guinea-Bissau,1991,1.037431,Low income,56.1,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea-Bissau,1993,1.080767,Low income,47.8,WDI,Average,Income/Consumption,,,,Other,,,
Guinea-Bissau,1994,1.103003,Low income,40,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Guinea-Bissau,2002,1.289526,Low income,35.5,WDI,Average,Income/Consumption,,,,Other,,,
Kenya,1914,,Low income,50,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1921,,Low income,57,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1927,,Low income,58,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1936,,Low income,63,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1946,,Low income,64,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1950,6.123979225,Low income,70,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1955,7.03721106,Low income,63,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1960,8.160551796,Low income,68,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1961,8.415807305,Low income,48.8,Cromwell 1977,Not known,"Income, ..",,Person,,Other,,,Person
Kenya,1964,9.251740858,Low income,63,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1967,10.19616593,Low income,66,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1969,10.89290595,Low income,63.7,Jain 1975,Not known,"Income, ..",,Person,,Other,,,Person
Kenya,1969,10.89290595,Low income,68,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1969,10.89290595,Low income,60.4,Lecaillon et al. 1984,Not known,Primary Income,,Person,,Other,,,Person
Kenya,1971,11.657321,Low income,70,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1974,12.997274,Low income,69,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1976,13.995982,Low income,52,ILO 1984,Low,"Income, ..",Household,Household,No Adjustment,Other,Without Adjustment,Household,Household
Kenya,1976,13.995982,Low income,68,Bigsten 1986,Low,"Income, ..",Person,Person,No Adjustment,Other,Without Adjustment,Person,Person
Kenya,1977,14.527391,Low income,59,van Ginneken and Park 1984,Low,"Income,Disposable",Household,Person,Household per capita,"Income,Disposable",Household Per Capita,Household,Person
Kenya,1977,14.527391,Low income,59,van Ginneken and Park 1984,Low,"Income,Disposable",Household,Household,No Adjustment,"Income,Disposable",Without Adjustment,Household,Household
Kenya,1982,17.557466,Low income,57.3,Milanovic 1994,Low,"Income, Gross",Household,Household,No Adjustment,"Income,Gross",Without Adjustment,Household,Household
Kenya,1992,25.04233,Low income,57.5,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Kenya,1992,25.04233,Low income,56.5,"Deininger & Squire, World Bank 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Kenya,1994,26.642887,Low income,44.5,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Kenya,1994,26.642887,Low income,42.1,WDI,Average,Income/Consumption,,,,Other,,,
Kenya,1997,28.94478,Low income,42.5,"World Bank, World Development Indicators 2004",Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Kenya,1997,28.94478,Low income,42.5,WDI,Average,Income/Consumption,,,,Other,,,
Kenya,1999,30.462154,Low income,62.5,"Society for International Development, 2004",Low,"Income,Disposable",Household,Person,Household per capita,"Income,Disposable",Household Per Capita,Household,Person
Kenya,1999,30.462154,Low income,57,"Society for International Development, 2004",Low,"Income,Disposable",Household,Household,No Adjustment,"Income,Disposable",Without Adjustment,Household,Household
Kenya,2005,35.614576,Low income,47.7,WDI,Average,Income/Consumption,,,,Other,,,
Kenya,2006,36.540948,Low income,45.9,KIHBS,High,Consumption,Household,Household,No Adjustment,Expenditure,Without Adjustment,Household,Household
Lesotho,1986,1.519369,Lower middle income,56,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Lesotho,1987,1.550144,Lower middle income,63.1,Gustafsson and Makkonen 1994,High,"Income,Disposable",Household,Person,Household per capita,"Income,Disposable",Household Per Capita,Household,Person
Lesotho,1987,1.550144,Lower middle income,60.9,Gustafsson and Makkonen 1994,High,"Income,Disposable",Household,Household,No Adjustment,"Income,Disposable",Without Adjustment,Household,Household
Lesotho,1993,1.729896,Lower middle income,57.9,World Bank Poverty Monitoring Database 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Lesotho,1993,1.729896,Lower middle income,57,Hassan 2002,Low,Consumption,Household,Person,Household per capita,Expenditure,Household Per Capita,Household,Person
Lesotho,1994,1.761558,Lower middle income,63.2,WDI,Average,Income/Consumption,,,,Other,,,
