"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","","","SOUTH AFRICA: Ex-spy Williamson Clashes with Pil","707 words"," Africa News","","",
"","","","SOUTH AFRICA: Angola Doesn't Want SA Peacekeepers Troops South African troops are not welcome in Angolan peacekeeping operations","720 words"," Africa News","","",
"","","","BURUNDI: Responding to Crisis in Burundi","3054 words"," Africa News","","",
"","","","U.S./AFRICA: 104th Congress: Africa Subcommittee Membership","1840 words"," Africa News","","",
"","","","U.S./AFRICA: Document: Memorandum to President Bill Clinton","2800 words"," Africa News","","",
"","","","U.S./AFRICA: Document: House Africa Subcommittee","374 words"," Africa News","","",
"","","","Music Is My Mission: An Interview with Joseph Shabalala","2120 words"," Africa News","","",
"","","","EMPLOYMENT","2754 words"," Africa News","","",
"","","","RESOURCES","1520 words"," Africa News","","",
"","","","PROCUREMENT","307 words"," Africa News","","",
"","","","Calls for Papers","907 words"," Africa News","","",
"","","","Exhibitions & Programs","587 words"," Africa News","","",
"","","","Planning Ahead","787 words"," Africa News","","",
"","","","Upcoming Events","414 words"," Africa News","","",
"","","","SOUTH AFRICA: Financial Rand's End Rumoured","667 words"," Africa News","","",
"","","","NIGERIA: BUSINESS AND FINANCE","4040 words"," Africa News","","",
"","","","UGANDA: Sports-Cancer Eating African Soccer","1214 words"," Africa News","","",
"","","","UGANDA: Somewhere In The Bush, An Idea Becomes Real","1160 words"," Africa News","","",
"","","","SUDAN: Khartoum Finds The Going Tough On The Battlefields Of The South","2987 words"," Africa News","","",
"","","","SOUTH AFRICA: Women--Rural Women Speak Out Against Power of Chiefs","467 words"," Africa News","","",
"","","","SOUTH AFRICA: Nuclear Waste Ship To Pass South Africa","454 words"," Africa News","","",
"","","","SOUTH AFRICA: Spy Drama: The Show's Not Over Till The Fat Man Sings","4400 words"," Africa News","","",
"","","","SOUTH AFRICA: When Thabo Came To Winnie's Rescue","1574 words"," Africa News","","",
"","","","SOUTH AFRICA: Countdown to a New Constitution","3134 words"," Africa News","","",
"","","","RWANDA: Security Council Decides Arusha To Be Seat of Tribunal For Rwanda; Council Unanimously Adoppts Resolution 977","614 words"," Africa News","","",
"","","","RWANDA: Rwanda: Many Faces Of The Aftermath of Genocide","2374 words"," Africa News","","",
"","","","NIGERIA: Drama in Port Harcourt","1560 words"," Africa News","","",
"","","","Statement by Franklin Kennedy, President and CEO of Equator Bank Limited","3867 words"," Africa News","","",
"","","","Testimony of George E. Moose Assistant Secretary of State for African Affairs","2840 words"," Africa News","","",
"","","","Statement of Senator Jesse Helms of North Carolina","494 words"," Africa News","","",
"","","","U.S./AFRICA: Senate Subcommittee on African Affairs Hearing, U.S. Policy on Trade and Investment in Africa","160 words"," Africa News","","",
"","","","Aid to Africa is an Asset to America's Self-Interest","547 words"," Africa News","","",
"","","","Speech to Summit on Africa Aid","2667 words"," Africa News","","",
"","","","Stay the Course on Aid in Africa","1947 words"," Africa News","","",
"","","","Letter from President Clinton to the Summit on Africa Aid","560 words"," Africa News","","",
"","","","Why Africa Matters: The Case for Continued U. S. Assistance to Africa","2320 words"," Africa News","","",
"","","","Summit on Africa Aid: Agenda","480 words"," Africa News","","",
"","","","Special Report: Summit Called to Defend Africa Aid","1267 words"," Africa News","","",
"","","","Education","242 words"," Africa News","","",
"","","","Resources","1387 words"," Africa News","","",
"","","","Announcements","907 words"," Africa News","","",
"","","","Exhibitions & Programs","560 words"," Africa News","","",
"","","","Planning Ahead","1120 words"," Africa News","","",
"","","","Upcoming Events","974 words"," Africa News","","",
"","","","River Blindness Causes A Maddening Itch, A Newly Recognized Burden Broadened Campaign Could Eliminate The Disease From Africa","1587 words"," Africa News","","",
"","","","SOUTH AFRICA","667 words"," Africa News","","",
"","","","SOUTH AFRICA: Benin's High Priest Of Urban Waste","1334 words"," Africa News","","",
"","","","SOUTH AFRICA: Spreading The Jazz Gospel","1867 words"," Africa News","","",
"","","","NIGERIA: Here Comes Dikko Again","1934 words"," Africa News","","",
"","","","USA/AFRICA: No Man-Eating Lions!","560 words"," Africa News","","",
"","","","U.S./AFRICA: Museum For African Art Names Grace C. Stanislaus New Executive Director","1214 words"," Africa News","","",
"","","","SOUTH AFRICA: Financial Rand's End Rumoured : Is Chris Stals About To Scrap The Financial Rand?","654 words"," Africa News","","",
"","","","NIGERIA: How Will They Work?","2360 words"," Africa News","","",
"","","","CONTINENT: Weekly Press Summary From The Pan African News Agency (Dakar), March 24, 1995","1814 words"," Africa News","","",
"","","","NRA to Withdraw From Liberian Mess","387 words"," Africa News","","",
"","","","UGANDA: Hutu, Tutsi Working Well For Uganda Government","707 words"," Africa News","","",
"","","","SUDAN: CSI Mission Witnesses Grim Conditions in the South and the Nuba Mountains","2574 words"," Africa News","","",
"","","","SOUTH AFRICA: Changing Voices of Radio South Africa","1307 words"," Africa News","","",
"","","","SOUTH AFRICA: Teflon Danie Set To Leap Final Hurdle","1307 words"," Africa News","","",
"","","","SOUTH AFRICA: Defending Winnie: "You've Downed A Democrat, Mr. President"","1014 words"," Africa News","","",
"","","","SOUTH AFRICA: Mandela: The Loneliness Of The World's Best-Loved Head Of State","1200 words"," Africa News","","",
"","","","SOUTH AFRICA: Toxic Waste: Thor Under The Spotlight Again","520 words"," Africa News","","",
"","","","SOUTH AFRICA: Queen Reminded Of "Broken Promise"","760 words"," Africa News","","",
"","","","SOUTH AFRICA-Document: Speech of the Deputy President of the Republic of South Africa, Thabo Mbeki, at the G-7 Conference on the Information Society, Brussels","2507 words"," Africa News","","",
"","","","SOUTH AFRICA: Healing Health Care","1200 words"," Africa News","","",
"","","","RWANDA-Commentary: Gender and the Rwanda Genocide","1854 words"," Africa News","","",
"","","","NIGERIA: Auta says Nyet","854 words"," Africa News","","",
"","","","In the Net","4894 words"," Africa News","","",
"","","","NIGERIA: See Lagos and Die","3014 words"," Africa News","","",
"","","","GHANA - Document: Address by H.E. Flt. Lt. J. J. Rawlings (RTD), President of the Republic of Ghana, on the Occassion of a Dinner Hosted by the Corporate Councikl on Africa, Washington, DC","2934 words"," Africa News","","",
"","","","THE GAMBIA: I Am Disappointed: As International Community Fails to Come to His Rescue, Sir Dawda Blames U. S. For Its Lukewarm Attitude","840 words"," Africa News","","",
"","","","THE GAMBIA: Dr. Nyang Speaks On The Political Situation In The Gambia","2080 words"," Africa News","","",
"","","","THE GAMBIA: CAF Talks Government Association Relationship","454 words"," Africa News","","",
"","","","","574 words"," Africa News","","",
"","","","BURUNDI: $100 Million Pledged for Food -- Much More Needed","440 words"," Africa News","","",
"","","","Letter to HIs Excellency General Sani Abacha","960 words"," Africa News","","",
"","","","Education","870 words"," Africa News","","",
"","","","Resources","1227 words"," Africa News","","",
"","","","Announcements","760 words"," Africa News","","",
"","","","Exhibitions & Programs","560 words"," Africa News","","",
"","","","Planning Ahead","1307 words"," Africa News","","",
"","","","Upcoming Events","600 words"," Africa News","","",
"","","","UCLA Fowler Museum of Cultural History Presents Exhibition, "Coiffure Moderne: A Gallery of African Hairstyles, 1970-1990"","1307 words"," Africa News","","",
"","","","KENYA: KENYA WILDLIFE SERVICE TO LAY OFF 1000","360 words"," Africa News","","",
"","","","KENYA: SESSION SAYS GENDER EQUALITY REQUIRED FOR DEVELOPMENT","494 words"," Africa News","","",
"","","","ZAMBIA: ZAMBIA TO KEEP OPEN MARKET FOR FARMERS","440 words"," Africa News","","",
"","","","ALGERIA: ALGERIA MOVES TOWARDS A MARKET ECONOMY","1560 words"," Africa News","","",
"","","","ZAMBIA: EAST-CENTRAL COMMON MARKET MEMBERS MEET IN ZAMBIA","387 words"," Africa News","","",
"","","","WORLD ECONOMIC INTEGRATION ON COURSE, SAYS WORLD BANK","507 words"," Africa News","","",
"","","","ZIMBABWE: ZIMBABWE WORKERS BODY RESCUING RETRENCHEES","854 words"," Africa News","","",
"","","","ZAMBIA: ZAMBIAN GOVERNMENT FLOATS CEMENT SHARES","520 words"," Africa News","","",
"","","","MALI: MALI TO BECOME A NEW ELDORADO","867 words"," Africa News","","",
"","","","ZIMBABWE: ZIMBABWE TRUST INVESTS IN MAJOR EXPLORATION PROJECT","360 words"," Africa News","","",
"","","","ZAMBIA: ZAMBIA FAILS TO TAP LOCAL OIL RESOURCES","374 words"," Africa News","","",
"","","","ZIMBABWE: SOUTHERN AFRICAN TOURISM ORGAN IN PIPELINE","854 words"," Africa News","","",
"","","","AFRICAN PRESS REVIEW - WEEK OF APRIL 14, 1995","1174 words"," Africa News","","",
"","","","GABON: SEXUALLY TRANSMITTED DISEASES ON THE RISE IN GABON","374 words"," Africa News","","",
"","","","WOMEN'S HEALTH SITUATION AROUND THE WORLD","440 words"," Africa News","","",
"","","","ZAMBIA: ZAMBIA BANS SEX DRUG","667 words"," Africa News","","",
"","","","CAMEROON: 40 DIE OF MENINGITIS IN EASTERN CAMEROON","227 words"," Africa News","","",
"","","","ZIMBABWE: ZIMBABWE INTRODUCES HOME-BASED CARE FOR ORPHANS","774 words"," Africa News","","",
"","","","ZAMBIA: NO FAMILY PLANNING FOR REFUGEES","720 words"," Africa News","","",
"","","","GABON: GABON TO BORROW FROM FOREIGN DONORS","280 words"," Africa News","","",
"","","","CONGO: ELF-CONGO BUYS UP STATE SHARES","400 words"," Africa News","","",
"","","","MALI: BIG MINING COMPANIES SCRAMBLE FOR GOLD IN MALI","627 words"," Africa News","","",
"","","","ZIMBABWE: REGIONAL BANK ACCUSED OF IGNORING SMALL BUSINESS","440 words"," Africa News","","",
"","","","NIGERIA: NIGERIA'S INSURANCE: AFRICA-RE MOVES INTO SOUTH AFRICA","880 words"," Africa News","","",
"","","","GABON: PRIVATE SECTOR FRANC ZONE EMPLOYERS MEET IN LIBREVILLE","267 words"," Africa News","","",
"","","","NIGERIA: INVESTMENT OPTIONS IN NIGERIA'S MINING SECTOR","1147 words"," Africa News","","",
"","","","NIGERIA: THIRTY EIGHT NIGERIAN COMPANIES FOR DAKAR TRADE FAIR","280 words"," Africa News","","",
"","","","CONTINENT: SOUTHERN AFRICA SETS TOURISM TARGETS","1400 words"," Africa News","","",
"","","","BURKINA FASO: BURKINA MEETING URGES NEED FOR WATER MANAGEMENT","467 words"," Africa News","","",
"","","","EGYPT: CAIRO'S RINGROAD TO BE REROUTED","547 words"," Africa News","","",
"","","","ZAMBIA: FEARS OF GLOBAL WARMING SAID TO BE EXAGGERATED","800 words"," Africa News","","",
"","","","ZIMBABWE: FARMING EXPERTS DISCUSS DRYLAND FARMING TECHNIQUES","520 words"," Africa News","","",
"","","","ZIMBABWE: ZIMBABWE GOVT TO EMBARK ON MULTI-BILLION PROGRAMME","494 words"," Africa News","","",
"","","","CONTINENT: AFRICAN PRESS REVIEW - WEEK OF APRIL 7, 1995","1520 words"," Africa News","","",
"","","","ZAIRE: A Health Insurance Scheme for Zaire","694 words"," Africa News","","",
"","","","SUDAN: Human Rights Commission Renews Rapporteur's Mandate","1774 words"," Africa News","","",
"","","","PRESIDENT NELSON MANDELA AT SOUTH AFRICAN FREEDOM DAY CELEBRATIONS","1614 words"," Africa News","","",
"","","","SOUTH AFRICA: Soccer: Borman bounces back","1814 words"," Africa News","","",
"","","","SOUTH AFRICA: Diamond War Looms","947 words"," Africa News","","",
"","","","SOUTH AFRICA: SA's Nuclear Policy Bombed","1467 words"," Africa News","","",
"","","","SOUTH AFRICA: The Longest Honeymoon in History: A Report Card On The New Government","5920 words"," Africa News","","",
"","","","SIERRA LEONE: Freedom For Some","840 words"," Africa News","","",
"","","","NIGERIA: Endless Conference","3707 words"," Africa News","","",
"","","","GHANA: Conflict Resolution and Peacekeeping in Africa: Ghana's Experience","2547 words"," Africa News","","",
"","","","ETHIOPIA: Ethiopia: Accountability Past And Present","880 words"," Africa News","","",
"","","","U.S./AFRICA: Document: Peacekeeping, Development Aid - Congressional Actions Expected in May","1987 words"," Africa News","","",
"","","","UN AGENCY HONOURS 27 ENVIRONMENTALISTS","1387 words"," Africa News","","",
"","","","SUDAN TURNS TO CANE WASTE INSTEAD OF CHARCOAL","440 words"," Africa News","","",
"","","","SUDAN'S BLUE NILE WATER REACHES LOWEST LEVEL,","347 words"," Africa News","","",
"","","","BANK CHIEF ENDS TENURE WITH TWO BOOKS","627 words"," Africa News","","",
"","","","AFRICAN BANK INTENSIFIES DEBT RECOVERY","560 words"," Africa News","","",
"","","","ZIMBABWE TO LOSE 100M U.S. DOLLARS IN EXPORTS","507 words"," Africa News","","",
"","","","ZAMBIA'S INTEREST RATES RISE","387 words"," Africa News","","",
"","","","AFRICA RISKS ECONOMIC MARGINALISATION, SAYS UN OFFICIAL","494 words"," Africa News","","",
"","","","ZIMBABWE WINE MAKER POSTS EXCELLENT RESULTS","360 words"," Africa News","","",
"","","","ZAMBIA'S BAIL-OUT OF MERIDIEN BANK CRITICISED BY IMF","880 words"," Africa News","","",
"","","","ZIMBABWE BENEFITING FROM STABILITY, SAYS IMF","467 words"," Africa News","","",
"","","","ZAMBIAN KWACHA CONTINUES TO TUMBLE","294 words"," Africa News","","",
"","","","ZAMBIAN OPPOSITION AGAINST MERIDIEN BANK MERGER","627 words"," Africa News","","",
"","","","ZAMBIA AIRWAYS-SEVERANCE","280 words"," Africa News","","",
"","","","GAMBIA URGES CLOSER COOPERATION WITH NIGERIA","467 words"," Africa News","","",
"","","","NDIAYE MADE HONORARY BANK PRESIDENT","547 words"," Africa News","","",
"","","","NIGERIA, GHANA IN SOCCER WAR SUNDAY IN U-17 CHAMPIONSHIPS","494 words"," Africa News","","",
"","","","WOMEN DEMAND MINISTERS' DISMISSAL","387 words"," Africa News","","",
"","","","ZAMBIA HOSTS INTERPOL CONFERENCE","187 words"," Africa News","","",
"","","","AFRICAN BANK MEMBERS DEMAND AUDIT","520 words"," Africa News","","",
"","","","MOZAMBIQUE'S CHISSANO TO VISIT ITALY","280 words"," Africa News","","",
"","","","U.S. MILITARY DELEGATION ARRIVES IN HARARE","294 words"," Africa News","","",
"","","","ELECTIONS RIGHTS BODY CHARGES BIAS IN ZIMBABWE ELECTIONS","800 words"," Africa News","","",
"","","","TUNISIAN OPPOSITION PROTESTS POLL RESULTS","414 words"," Africa News","","",
"","","","WEEKLY PRESS REVIEW FOR MAY 26, 1995","1560 words"," Africa News","","",
"","","","ZAIRE 'EBOLA' VIRUS UPDATE","227 words"," Africa News","","",
"","","","UNICEF LOSES 10 MILLION U.S. DOLLARS IN KENYAN FRAUD","547 words"," Africa News","","",
"","","","RWANDAN GENOCIDE TRIAL COULD START BY YEAR END","400 words"," Africa News","","",
"","","","UN PEACE KEEPING ASKS AFRICAN HELP","387 words"," Africa News","","",
"","","","DELEGATES REACT TO FAILURE TO ELECT ADB PRESIDENT","680 words"," Africa News","","",
"","","","GHANA AND NIGERIA FOR AFRICAN UNDER-17 FINAL","200 words"," Africa News","","",
"","","","GABON POSTPONES CONSTITUTIONAL REFERENDUM","307 words"," Africa News","","",
"","","","ELECTION OF AFRICAN BANK PRESIDENT PUSHED TO AUGUST","947 words"," Africa News","","",
"","","","KENYA EXPELS RWANDAN DIPLOMAT","387 words"," Africa News","","",
"","","","ZAMBIAN GOVERNMENT RETREATS ON BANK MERGER","467 words"," Africa News","","",
"","","","New Opportunities in Zimbabawe","440 words"," Africa News","","",
"","","","Science Symposium to Convene in Uganda","3000 words"," Africa News","","",
"","","","Uganda's Firms Top Investor's List","720 words"," Africa News","","",
"","","","Zimbabwe: Mugabe cracks down on press","1200 words"," Africa News","","",
"","","","Namibian 'borehole' scandal","854 words"," Africa News","","",
"","","","South Africa: There shall be houses for all","1440 words"," Africa News","","",
"","","","South Africa: A lame duck government?","1387 words"," Africa News","","",
"","","","South Africa: The latest gold price -- floods of blood","2067 words"," Africa News","","",
"","","","South Africa gets a cyber-constitution","814 words"," Africa News","","",
"","","","South Africa: Four white men and truth","2254 words"," Africa News","","",
"","","","Satellite TV starts in South Africa","787 words"," Africa News","","",
"","","","South Africa: The terrible cost of gold","614 words"," Africa News","","",
"","","","South Africa: Row over embassies budget","1027 words"," Africa News","","",
"","","","South Africa: Putting gender on the agenda","2200 words"," Africa News","","",
"","","","South Africa: Survey taps minds of business and labour","1680 words"," Africa News","","",
"","","","South Africa: Labour, business see bright future","1307 words"," Africa News","","",
"","","","Banks get power to trade on Johannesburg Exchange","1174 words"," Africa News","","",
"","","","South Africa: Rule by focus groups","640 words"," Africa News","","",
"","","","South Africa's Man Friday: John Kani","587 words"," Africa News","","",
"","","","The ANC enforces its own code","640 words"," Africa News","","",
"","","","South African MPs' gravy train at the junction","1467 words"," Africa News","","",
"","","","South African Government criticised over media","694 words"," Africa News","","",
"","","","Profile: Welcome Msomi, cultural interlocutor","2094 words"," Africa News","","",
"","","","Nigerian activist marks one year of detention","760 words"," Africa News","","",
"","","","A passionate call from a Nigerian prison","787 words"," Africa News","","",
"","","","South Africa's Plan To Get The Nation Working","3454 words"," Africa News","","",
"","","","NIGERIA: Abacha's interview on CNN draws critics","1840 words"," Africa News","","",
"","","","Nigerian Conference Rverses Onrminal Dte for Mlitary","3867 words"," Africa News","","",
"","","","CENSORSHIP IN KENYA","2427 words"," Africa News","","",
"","","","Kenya's Human Right Record: A Catalogue of Abuses","694 words"," Africa News","","",
"","","","Congressional Letter on Africa Aid","787 words"," Africa News","","",
"","","","Peacekeeping: From a Crossroads to the Future","6054 words"," Africa News","","",
"","","","Africa's Last Colony","1819 words"," Africa News","","",
"","","","African Journalists Search For Voice","1560 words"," Africa News","","",
"","","","Pahad Hits Back At Foreign Affairs Critics","1427 words"," Africa News","","",
"","","","SA's First Community TV Goes On Air","854 words"," Africa News","","",
"","","","Now The Olympic Bid Is In Ball's Court","1254 words"," Africa News","","",
"","","","Asian Brewer Steps In To Save NSB","1440 words"," Africa News","","",
"","","","Lower Growth Forecast For This Year","640 words"," Africa News","","",
"","","","Making Presidential Whoopee Is Bad News","907 words"," Africa News","","",
"","","","How Rugby Scored A Try For The new South Africa","1307 words"," Africa News","","",
"","","","The Secrets Of Stratcom","1587 words"," Africa News","","",
"","","","SA's M-Net Wants the Lead in Africa","1160 words"," Africa News","","",
"","","","ANC Backs Black Panther 'Killer'","707 words"," Africa News","","",
"","","","More Power For Shareholders","1174 words"," Africa News","","",
"","","","New York Dresses Up, SA-Style","1734 words"," Africa News","","",
"","","","The 'Silent Majority' Raises Its Voice","1054 words"," Africa News","","",
"","","","Draft Law Gives Teeth To Gender Rights","547 words"," Africa News","","",
"","","","SA Gets Its First Taste Of Satellite TV","787 words"," Africa News","","",
"","","","Foreign Affairs Department Under Fire","1360 words"," Africa News","","",
"","","","Editorial: Noose Gets The Gallows","680 words"," Africa News","","",
"","","","SA's Gordimer A Conscientious Cannes Judge","1120 words"," Africa News","","",
"","","","Mozambique's Ambitious Privatisation Plan","880 words"," Africa News","","",
"","","","Investment Money Starts To Flow Into SA","854 words"," Africa News","","",
"","","","SA Blacks Buy Big Stake in Giant Firm","1320 words"," Africa News","","",
"","","","It's Do Or Die In The Season Of Strikes","1560 words"," Africa News","","",
"","","","African Weekly Press Review","1320 words"," Africa News","","",
"","","","Mozambique Gets Postal Code","534 words"," Africa News","","",
"","","","UN Needs $44 Million for Angola Refugees","360 words"," Africa News","","",
"","","","Southern Africa Women Prepare for Beijing","400 words"," Africa News","","",
"","","","Zambian Opposition Leader Cries Foul","414 words"," Africa News","","",
"","","","Mozambican Women Demand Attention to Concerns","614 words"," Africa News","","",
"","","","Ghana to Host West African Summit if Nigeria Declines","360 words"," Africa News","","",
"","","","ACTIVE TRADING ON GHANA STOCK EXCHANGE","494 words"," Africa News","","",
"","","","Ghana Charges Newpaper With Libel","347 words"," Africa News","","",
"","","","Egypt Attacks Sudanese Police Stations","520 words"," Africa News","","",
"","","","Niger Arrests Student Protesters","320 words"," Africa News","","",
"","","","Departed Burundi Minister Criticizes Inaction","480 words"," Africa News","","",
"","","","Deadly Clashes In Western Cameroon","347 words"," Africa News","","",
"","","","Zambia's Ruling Party Faces Split","600 words"," Africa News","","",
"","","","Zambia's Kaunda Retakes Party Reins","587 words"," Africa News","","",
"","","","The Nightmare of Covering an OAU Summit","1067 words"," Africa News","","",
"","","","U.S. Offers Help In Search for Mubarak's Attackers","387 words"," Africa News","","",
"","","","Sudan Accuses Neighbours","587 words"," Africa News","","",
"","","","Clinical Trials Reverse AIDS Symptoms","360 words"," Africa News","","",
"","","","Sudan Fights Iodine Deficiency","347 words"," Africa News","","",
"","","","Zimbabwe Lacking Political Will to Curb AIDS","547 words"," Africa News","","",
"","","","Riot Calm Returns To Riot-Torn Zambian Town","494 words"," Africa News","","",
"","","","Burundi President Denied Special Powers","574 words"," Africa News","","",
"","","","Angolan Refugees Waiting To Go Home","347 words"," Africa News","","",
"","","","African Summit Ends 25 Million Dollars Richer","307 words"," Africa News","","",
"","","","Zambia and Zimbabwe told conserve electricity","267 words"," Africa News","","",
"","","","Unsafe Births Take Toll on African Women","400 words"," Africa News","","",
"","","","Students Clash With Riot Police","427 words"," Africa News","","",
"","","","African Spokesman Warns on Deteriorating Situation in Burundi","547 words"," Africa News","","",
"","","","OAU Leaders Committed to Stemming Conflicts","1027 words"," Africa News","","",
"","","","Southern Africa Lacks Vibrant Capital Markets","694 words"," Africa News","","",
"","","","Commentary: An Unlikely Democrat","1387 words"," Africa News","","",
"","","","Foundation Fosters Growth at the Grassroots","3000 words"," Africa News","","",
"","","","Africa Foundation on Chopping Block","320 words"," Africa News","","",
"","","","Document--An Appeal From The Family Of The Former Nigerian Head-of-State General Olusegun Obasanjo","467 words"," Africa News","","",
"","","","SA trade with India booms","1695 words"," Africa News","","",
"","","","Women first choice for ministers' posts","627 words"," Africa News","","",
"","","","Goldstone report that was kept secret","1547 words"," Africa News","","",
"","","","Economic alarm bells sound in South Africa","707 words"," Africa News","","",
"","","","What SA's De Klerk really knew about 'dirty tricks'","1627 words"," Africa News","","",
"","","","Winnie Mandela said to have ordered 1989 killing","1214 words"," Africa News","","",
"","","","Cape Town Steps Up Olympics Pursuit","1374 words"," Africa News","","",
"","","","South Africa's poor get poorer","560 words"," Africa News","","",
"","","","South Africa must avoid the aid debt-trap","640 words"," Africa News","","",
"","","","South African Telkom's sheltered days are numbered","814 words"," Africa News","","",
"","","","South African gold mining in crisis","1094 words"," Africa News","","",
"","","","National Problems Undermine Integration Efforts","1187 words"," Africa News","","",
"","","","Zambia Honours National Heroes","494 words"," Africa News","","",
"","","","Intelligence Boss Leaked Mugabe Wedding Story","1107 words"," Africa News","","",
"","","","Science and Technology Summit Ends","494 words"," Africa News","","",
"","","","Mozambican Grave-Diggers Postpone Strike","520 words"," Africa News","","",
"","","","Kenya Holds Business Week in Mauritius","440 words"," Africa News","","",
"","","","Twenty-Seven African States Among 100 WTO Membership","574 words"," Africa News","","",
"","","","Ethiopia earns $66 Million from Hides","347 words"," Africa News","","",
"","","","Science and Technology Forum Begins in Kampala","507 words"," Africa News","","",
"","","","Commonwealth Aid Management Seminar Opens","414 words"," Africa News","","",
"","","","Ghana's Foreign Debt Balloons to Five Billion Dollars","400 words"," Africa News","","",
"","","","Eleven People Killed in Bujumbura","307 words"," Africa News","","",
"","","","Stockmarket Awaits 1996 Budget","414 words"," Africa News","","",
"","","","Rawlings Pleads for African Women","600 words"," Africa News","","",
"","","","Shake-Up in Mozambique's Frelimo Party","840 words"," Africa News","","",
"","","","African Leaders Adopt Food Security Programme","720 words"," Africa News","","",
"","","","Leaders Question Relevance of New Research Board","507 words"," Africa News","","",
"","","","Diouf Says He Knows Nothing of Missing French Tourists","547 words"," Africa News","","",
"","","","Gabonese Voters Endorse Constitutional Reforms","360 words"," Africa News","","",
"","","","Weekly African Money Rates","307 words"," Africa News","","",
"","","","Proposal for Southern African Maritime Policy","627 words"," Africa News","","",
"","","","Rape Cited as Major Cause of AIDS in Africa","587 words"," Africa News","","",
"","","","Zimbabwe Investigates Allegations of Discrimination","520 words"," Africa News","","",
"","","","American and Senegalese Businessmen Meet in Dakar","614 words"," Africa News","","",
"","","","Zambia's Under-23 Team to Play in Saudi Arabia","467 words"," Africa News","","",
"","","","Nigeria Under Mounting International Pressure","667 words"," Africa News","","",
"","","","Former US President Carter on Peace Shuttle in Sudan","547 words"," Africa News","","",
"","","","U.S. To Close Three Diplomatic Posts In Africa","334 words"," Africa News","","",
"","","","Africa's Debt Crisis Affecting Consumers","467 words"," Africa News","","",
"","","","President Chirac To Meet 14 African Leaders","454 words"," Africa News","","",
"","","","UN Peace Team in Lusaka","347 words"," Africa News","","",
"","","","Chinese Vice-Premier In Harare","467 words"," Africa News","","",
"","","","UNHCR Needs 44m Dollas for Angolan Repatriation","667 words"," Africa News","","",
"","","","Africans Urged to Re-Evaluate Economic Reforms","454 words"," Africa News","","",
"","","","Zaire to Compensate Widows of Ebola-Killed workers","560 words"," Africa News","","",
"","","","Mozambique Unhappy with South Africa's Dam Project","747 words"," Africa News","","",
"","","","Tobacco Growers Revise Crop Output","507 words"," Africa News","","",
"","","","University Student Leaders Suspended","547 words"," Africa News","","",
"","","","Burundi's Exams Proceeded Without Trouble","360 words"," Africa News","","",
"","","","Zambian Wildlife Officials in Jigsaw Puzzle","454 words"," Africa News","","",
"","","","Sudan Relectant About Another Ceasefire","680 words"," Africa News","","",
"","","","Fugitive Meridien Boss Denies Fraud Charge","614 words"," Africa News","","",
"","","","Salim Sends Message to Abacha Pleading For Prisoners","427 words"," Africa News","","",
"","","","OAU Planning Extraordinary Session on Burundi","694 words"," Africa News","","",
"","","","Southern Senegal's Separatists Strike Again","560 words"," Africa News","","",
"","","","Three Lesotho Ministers Sworn in","454 words"," Africa News","","",
"","","","American Company Invests In Zimbabwe","480 words"," Africa News","","",
"","","","Zambia's Defender Litana to Join Saudi Soccer Club","360 words"," Africa News","","",
