"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Kenya Airways Introduces New Boeing 737-300 on Addis","1187 words"," Africa News","","",
"Dr Richard Pankhurst, Addis Tribune (Addis Ababa)","","","Ethiopia;The Effect of the British Election on Ethiopia","1000 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Ethiopia on CPJ 'Enemies of the Press' List","214 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Ethiopia Seen as "An Anchor of Stability",","227 words"," Africa News","","",
"Our Economics Correspondent, Addis Tribune (Addis Ababa)","","","Ethiopia;Idle land in Addis Ababa","2574 words"," Africa News","","",
"Jonathan Spencer Jones, Mail And Guardian (Johannesburg)","","","Sports - General;Next Time, Webber Wants A Local Crew From SA","1160 words"," Africa News","","",
"Steve Morris, Mail And Guardian (Johannesburg)","","","Sports - General;Rugby: Start Playing Until The End","1360 words"," Africa News","","",
"Julian Drew, Mail And Guardian (Johannesburg)","","","Sports - Soccer;It Was A 'Victory For Voodoo'","1667 words"," Africa News","","",
"Andrew Muchineripi, Mail And Guardian (Johannesburg)","","","Sports - Soccer;How To Plug A Leaking Defence","1227 words"," Africa News","","",
"Humphrey Tyler, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Poets Converge On Durban","1134 words"," Africa News","","",
"Hazel Friedman, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Art: The Prints Of Darkness","600 words"," Africa News","","",
"Andrew Wilson, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Drama: The Whore In Ibsen","627 words"," Africa News","","",
"Charl Blignaut, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Film: Method And Madness","800 words"," Africa News","","",
"Hazel Friedman, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Extraordinary People","960 words"," Africa News","","",
"Glynis O'Hara, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Music: The Long Road Ahead","907 words"," Africa News","","",
"Maria McCloy, Mail And Guardian (Johannesburg)","","","South Africa;Day Of Our Lives","1067 words"," Africa News","","",
"Judith Watt, Mail And Guardian (Johannesburg)","","","Arts and Entertainment;Fashion: Mala Mala On Acid","800 words"," Africa News","","",
"Glynis O'Hara, Mail And Guardian (Johannesburg)","","","Business and Finance;From petty criminals to radio recruits","1254 words"," Africa News","","",
"Arthur Goldstuck, Mail And Guardian (Johannesburg)","","","Business and Finance;WEB FEET","787 words"," Africa News","","",
"Miepje Commandeur and Helma van de Vondevoort, Mail And Guardian (Johannesburg)","","","Business and Finance;Crime: War Zone Or Storm In A Teacup?","2040 words"," Africa News","","",
"Asghar Adelzadeh and Mathane Lethale, Mail And Guardian (Johannesburg)","","","Business and Finance;Is SA Geared For Development?","2294 words"," Africa News","","",
"Ferial Haffajee, Mail And Guardian (Johannesburg)","","","Business and Finance;Unions Train New Captains","987 words"," Africa News","","",
"Chris Gordon, Mail And Guardian (Johannesburg)","","","Business and Finance;Kabila Dumps De Beers","1160 words"," Africa News","","",
"Gareth Patterson,, Mail And Guardian (Johannesburg)","","","South Africa;Horrors of 'canned' lion hunting","2334 words"," Africa News","","",
"Eddie Koch, Mail And Guardian (Johannesburg)","","","South Africa;Playground in a land of poverty","2267 words"," Africa News","","",
"Lesley Cowling, Mail And Guardian (Johannesburg)","","","Science and Health;Science to the rescue","547 words"," Africa News","","",
"Swapna Prabhakaran, Mail And Guardian (Johannesburg)","","","Science and Health;Hale-Bopp bursts into our skies","894 words"," Africa News","","",
"Eddie Webster, Mail And Guardian (Johannesburg)","","","South Africa;Diversity enriches learning (Commentary)","1440 words"," Africa News","","",
"Ben Turok, Mail And Guardian (Johannesburg)","","","South Africa;Black power should not ape white privilege (Commentary)","1134 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Zaire;Talks to remake Africa (Editorial)","1374 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","Zimbabwe;Bhalagwe: Camp of depravity","760 words"," Africa News","","",
"David Beresford, Mail And Guardian (Johannesburg)","","","Zimbabwe;Nightmare of Mugabe's Matabele atrocities","2587 words"," Africa News","","",
"Peta Thornycroft, Mail And Guardian (Johannesburg)","","","South Africa;'Third force' killers not likely to be charged","1307 words"," Africa News","","",
"Peta Thornycroft, Mail And Guardian (Johannesburg)","","","South Africa;Journalist was a 'security police spy'","1280 words"," Africa News","","",
"Jonathan Ancer, Mail And Guardian (Johannesburg)","","","Somalia;Somalis find uneasy refuge","1707 words"," Africa News","","",
"Gustav Thiel, Mail And Guardian (Johannesburg)","","","South Africa;Gasa case: We're not that sorry, say police","800 words"," Africa News","","",
"Dawn Blalock, Mail And Guardian (Johannesburg)","","","South Africa;Principal runs private hostel for her pupils","1214 words"," Africa News","","",
"Jim Day, Mail And Guardian (Johannesburg)","","","South Africa;Bureaucrats dither as HIV invades","1200 words"," Africa News","","",
"Mail And Guardian (Johannesburg)","","","South Africa;Northern Province: Paradise for consultants","1094 words"," Africa News","","",
"Marion Edmunds, Mail And Guardian (Johannesburg)","","","South Africa;Purge threat in Pietersburg","1027 words"," Africa News","","",
"Mungo Soggot, Mail And Guardian (Johannesburg)","","","South Africa;Chief must go, say IBA staff","1280 words"," Africa News","","",
"Gustav Thiel, Mail And Guardian (Johannesburg)","","","South Africa;Priest's dismissal is 'God's will'","640 words"," Africa News","","",
"Marion Edmunds, Mail And Guardian (Johannesburg)","","","South Africa;Home Affairs officials' Hong Kong holiday","694 words"," Africa News","","",
"Rehana Rossouw, Mail And Guardian (Johannesburg)","","","Zaire;Is Kabila Mr Nice Guy?","1147 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Ethiopian News Roundup","1067 words"," Africa News","","",
"Derese T/Wold, Ethiopian News Agency","","","Ethiopia;Japan extends grant to health sector","374 words"," Africa News","","",
"Abebe Gelaw, Ethiopian News Agency","","","Ethiopia;Over 30,000 benefit from ERO-run Project","760 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Zambia; Journalists Appear For Trial","454 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Namibia, Zambia, Zimbabwe Cited For Restricting Press Freedom","787 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;African Ministers Meet Monday On Boosting Information","694 words"," Africa News","","",
"Panafrican News Agency","","","Zaire;As Peace Talks Open, Thousands of Malians Flee Kinshasa","294 words"," Africa News","","",
"Panafrican News Agency","","","Zaire;Burundi Denies Links with Zairean Rebels","374 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; Text of State Department Briefing: Zaire","2494 words"," Africa News","","",
"African National Congress of South Africa","","","South Africa; ANC Exec to Apply for Amnesty","334 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; ECA Forges Ahead With Information Initiative","774 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Zambia; Minister Bans Advertising In The Post","507 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service","","","Demonstrators looted shop in protest against arrests","494 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Zimbabwean Industrials Active","280 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Mugabe Calls for Removal of Trade Barriers","480 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Li Peng In Zambia, Pledges Support For Africa","627 words"," Africa News","","",
"Ferdinand Bigumandondera, PANA Correspondent, Panafrican News Agency","","","Burundi;Buyoya Makes First Cabinet Reshuffle","667 words"," Africa News","","",
"Panafrican News Agency","","","Mauritania;Mauritanian Army Plane Hunts For Birds","320 words"," Africa News","","",
"Panafrican News Agency","","","Sports - Soccer;Sudan's Al Hilal Beats Ghana's Goldfields","106 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Africa Urged To Exploit Achievements","414 words"," Africa News","","",
"Panafrican News Agency","","","Benin;Petroleum Products Cost More In Benin","360 words"," Africa News","","",
"Panafrican News Agency","","","Mauritania;Mauritania Shifts Presidential Polls","240 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","Business and Finance;Canadian investors interested in Maputo corridor","187 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;Boy (3) beaten to death for defecating in sleep","174 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;Two boys (8) drown","147 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;Three prisoners escape","214 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Traffic cops allegedly burn office complex to hide corruption","974 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Third Force policemen allegedly blew activist's body up","480 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Sudan;'Peace' Agreement Signed","307 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Burundi;Situation Update: Let us not forget...","1694 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Angola;Government of National Unity Formed","1000 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Liberia;Peace Process on Course","1414 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","United States and Africa;TRADE: The New Panacea for Africa Woes","1147 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Zaire;What Comes Next in Zaire?","1667 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; Seminar to Examine","1160 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Southern Africa; MISA Releases Its 1996 State Of Media Report","747 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Tutu Makes Final Amnesty Appeal","867 words"," Africa News","","",
"Chene Blignaut, Cape Argus (Cape Town)","","","Business and Finance;Seaside Cinderella to become beach front belle","1374 words"," Africa News","","",
"Ross Herbert, Cape Argus (Cape Town)","","","Zaire;Kabila scores with 'instant democracy'","1640 words"," Africa News","","",
"Thabo Mabaso, Cape Argus (Cape Town)","","","South Africa;Fraud 'undermining growth as police focus on violence'","454 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","South Africa;Drug dealers won't escape prosecution, says Ball","374 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","South Africa;Bid media boss quits to work for youth commission","280 words"," Africa News","","",
"Ian Sadler, Cape Argus (Cape Town)","","","Sports - General;Marine Costa: taking the plunge to pursue her dreams","1054 words"," Africa News","","",
"Cape Argus (Cape Town)","","","Zaire;Mr Mandela loses his cool (Editorial)","400 words"," Africa News","","",
"Clive Sawyer, Cape Argus (Cape Town)","","","South Africa;FW DeKlerk weighs amnesty bid","627 words"," Africa News","","",
"Ashley Smith and Johan Schronen, Cape Argus (Cape Town)","","","South Africa;City elderly under siege","707 words"," Africa News","","",
"Western Sahara Referendum Support Association","","","Western Sahara;Sahara Weekly News Update (04/28 - 05/04)","960 words"," Africa News","","",
"Africa News Service","","","Zaire; Text of Communique from Mobutu-Kabila Meeting","347 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Zambian Police Impounds 150 Stolen Vehicles","815 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Zimbabweana Stick To Tradition, Shun Cremation","440 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Zimbabwe Stock Market Report","240 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Call For O.A.U. Women's Committee On Peace","400 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;U.N. Agency Calls For Decisive Action On Refugees","347 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;African First Ladies Seek Bigger Humanitarian Role","800 words"," Africa News","","",
"Panafrican News Agency","","","Congo;Congolese Military Ends Mutiny","427 words"," Africa News","","",
"Panafrican News Agency","","","Burundi;Fighting Continues In Southern Burundi","187 words"," Africa News","","",
"Ethiopian News Agency","","","Sports - General;Ethiopia supports South African bid to host 28th Olympiad","240 words"," Africa News","","",
"World Health Organization (Geneva)","","","Science and Health; Cholera - United Republic of Tanzania.","214 words"," Africa News","","",
"Africa Policy Information Center (Washington, DC)","","","United States and Africa; Africa Policy: Report from the American Assembly","6654 words"," Africa News","","",
"Clive Sawyer, Cape Argus (Cape Town)","","","South Africa;Nat ministers reject amnesty","200 words"," Africa News","","",
"Gorry Bowes-Taylor, Cape Argus (Cape Town)","","","Arts and Entertainment;Louis Baum: a life filled with books, authors and book-selling","987 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;The NP and amnesty (Editorial)","414 words"," Africa News","","",
"Thabo Mabaso, Cape Argus (Cape Town)","","","Business and Finance;'Training levy not the solution to low productivity'","480 words"," Africa News","","",
"Argus Correspondent, Cape Argus (Cape Town)","","","South Africa;Cradock 4 widow outraged after meeting 'killer'","320 words"," Africa News","","",
"Joseph Aranes, Cape Argus (Cape Town)","","","South Africa;Games anti-crime allies slated","240 words"," Africa News","","",
"Andrea Weiss, Cape Argus (Cape Town)","","","South Africa;'Housing, housing housing' - our No 1 problem","1107 words"," Africa News","","",
"Andrea Weiss and Jermaine Craig, Cape Argus (Cape Town)","","","South Africa;Here on the Flats, there's a place called the Waterfront ..  .","654 words"," Africa News","","",
"Andrea Weiss and Jermaine Craig, Cape Argus (Cape Town)","","","South Africa;Water on tap, electricity for 600 Crossroads families","600 words"," Africa News","","",
"Alan Cooper and Chene Blignaut, Cape Argus (Cape Town)","","","Business and Finance;Durbs, Cape in tourism row","480 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; ECA Looks to Boost Trade and Investment","1294 words"," Africa News","","",
"Samuel Sarpong, APS Correspondent, All Africa Press Service","","","Ghana;Soldier's Recipe For Peace","1347 words"," Africa News","","",
"Sam Gonza, APS Correspondent, All Africa Press Service","","","East Africa;Alternatives To Repatriation","1494 words"," Africa News","","",
"an APS Correspondent, All Africa Press Service","","","Kenya;Pastoralists: 'Old Ways Die Hard'","1547 words"," Africa News","","",
"All Africa Press Service","","","Burundi;Massacres Reported At Catholic Seminary","654 words"," Africa News","","",
"All Africa Press Service","","","East Africa;East Africa Launches Economic Plan","734 words"," Africa News","","",
"All Africa Press Service","","","Kenya;Kenya's Presbyterians Want Constitutional Reforms","854 words"," Africa News","","",
"All Africa Press Service","","","Angola;Angola Wary Of Rwandese Refugees","147 words"," Africa News","","",
"All Africa Press Service","","","Sudan;Faithful Guard Threatened Church","400 words"," Africa News","","",
"All Africa Press Service","","","South Africa;Truth Commission Amnesty for Woods' Friend","987 words"," Africa News","","",
"All Africa Press Service","","","Rwanda;Churches Urged To Help Rwandese Refugees","600 words"," Africa News","","",
"All Africa Press Service","","","Nigeria;Death at varsity beauty contest","574 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;'Be Bearers Of Hope,' Churches Told","707 words"," Africa News","","",
"All Africa Press Service","","","Liberia;Liberian Elections To Go On","1134 words"," Africa News","","",
"Congress of South African Trade Unions (COSATU)","","","Business and Finance; Business South Africa Interdict Against COSATU","787 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Zimbabwe Industrial Index Falls","174 words"," Africa News","","",
"Panafrican News Agency","","","Science and Health;World Conservation Union To Avoid Ivory Debate","534 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Africa;Africa-Bound FDI's Tilt Toward Service Sector","494 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Liberia;Female Presidential Candidate Unperturbed By Male Challenge","414 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa First Ladies Summit Ends","480 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; STATEMENT by the Truth Commission's Amnesty Committee","454 words"," Africa News","","",
"The World Organisation Against Torture (Geneva)","","","Burundi; Reported Massacre of 36 Pupils","747 words"," Africa News","","",
"African National Congress of South Africa","","","South Africa; ANC National Working Committee Statement","680 words"," Africa News","","",
"Malawi News Online","","","Southern Africa;COMESA: Mutharika Responds","787 words"," Africa News","","",
"Malawi News Online","","","Malawi;Malawi News Roundup","1947 words"," Africa News","","",
"Malawi News Online","","","Malawi;The Dismantling Of Banda's Economic Empire","680 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Security officials warned against intimidating witnesses","774 words"," Africa News","","",
"Jabu Matsebula, African Eye News Service (South Africa)","","","Swaziland;Bumper cotton crop predicted for Swaziland","494 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;Passenger bus torched by protesters","907 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;National Party executive murdered","414 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Illegal licenses reason for staggering road death rate","707 words"," Africa News","","",
"Benjamin Shabalala, African Eye News Service (South Africa)","","","South Africa;PAC activist in court on double murder charges","187 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;Half a billion rand shortfall for education","467 words"," Africa News","","",
"Mzilikazi wa Afrika, African Eye News Service (South Africa)","","","South Africa;'Border war' protests set to escalate","627 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;MEC illegally re-instated 3000 illegal licenses","1107 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;Ball Says Olympics Can 'Turbocharge' Development","334 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Protecting SA's fishing resources (Editorial)","387 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;I gave go-ahead for CCB, Malan admits","414 words"," Africa News","","",
"Henri du Plessis, Cape Argus (Cape Town)","","","Sports - General;Chay Blyth: Bringing the excitement back into ocean yacht-racing","934 words"," Africa News","","",
"William-Mervin Gumede,, Cape Argus (Cape Town)","","","South Africa;Sigcau warns W Cape on sale of state assets","680 words"," Africa News","","",
"Clive Sawyer, Cape Argus (Cape Town)","","","South Africa;ANC Cadres urged to apply for TRC amnesty","320 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;ANC denies blame for terror acts","454 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;Winnie likely to face TRC on Stompie death","106 words"," Africa News","","",
"Joseph Aranes, Cape Argus (Cape Town)","","","South Africa;Kids tell of picnic horror","640 words"," Africa News","","",
"White House","","","United States and Africa; White House Expects Mobutu to Return Home","186 words"," Africa News","","",
"Committee to Protect Journalists (CPJ)","","","Nigeria; Nigerian Journalist Ladi Olorunyomi Released from Jail","547 words"," Africa News","","",
"Panafrican News Agency","","","Ghana;Ghanaian Fighter Plane Crashes, Killing Pilot","374 words"," Africa News","","",
"Panafrican News Agency","","","United States and Africa;Addis Ababa Hosts U.S Trade Exhibition","280 words"," Africa News","","",
"Panafrican News Agency","","","Libya;Kadhafi Arrives In Niamey","254 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Role Of Information, Private Sector In Africa's Development","467 words"," Africa News","","",
"Panafrican News Agency","","","Ethiopia;Ethiopian Police Kill Leader, Arrest Other Members","200 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Five Arrested Over Wednesday's Lagos Bombing","494 words"," Africa News","","",
"Norman Joseph, Cape Argus (Cape Town)","","","Sports - General;Cape Town team in Asia drive","227 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;Lubowksi: SA spy claim reaffirmed","254 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","Namibia;'SADF caught Swapo's Nujoma in 1960s - then let him go free'","174 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;General won't seek amnesty for raids that killed civilians","334 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;Mandela 'backed chemical war project'","347 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;'I was surprised to hear of CCB hit squad activities'","294 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Nats on the ropes (Editorial)","374 words"," Africa News","","",
"Sabati Ngcai, Cape Argus (Cape Town)","","","South Africa;Elda Mahlentle: bringing education to deprived squatter children","1054 words"," Africa News","","",
"Business Reporter, Cape Argus (Cape Town)","","","Business and Finance;Government boost for businesswomen","574 words"," Africa News","","",
"Michael Morris, Cape Argus (Cape Town)","","","Sports - General;SA will bring new 'spirit' to Olympics","1947 words"," Africa News","","",
"Ashley Smith, Cape Argus (Cape Town)","","","South Africa;'Abandon gangsters or we'll stop Olympic Bid'","334 words"," Africa News","","",
"Hugh Robertson, Cape Argus (Cape Town)","","","South Africa;Nats pull back from Rubicon 2","587 words"," Africa News","","",
"John Yeld, Cape Argus (Cape Town)","","","South Africa;I never ordered murders of opponents, says Malan","560 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Truth Commission Opens Amnesty 'Hotlines'","334 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; Experts Tackle Improvement in African Statistics","1187 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Unctad Recognizes Zimbabwe's Performance","467 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Bank Lending Rates Could Rise In Zimbabwe","347 words"," Africa News","","",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Zaire;Kabila Agrees To Hold Second Round Of Talks","200 words"," Africa News","","",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Zaire;U.S. Company To Invest in Zaire","520 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; Ministers Endorse Role Of Information And Private Sector","1160 words"," Africa News","","",
"UN Economic Commission for Africa (ECA)","","","Africa-at-Large; ECA Declaration On Accelerating Trade And Investment","1827 words"," Africa News","","",
"African Faith and Justice Network (Washington, DC)","","","Kenya;'Reign Of Tyranny Must End' in Turkana District","894 words"," Africa News","","",
"African National Congress of South Africa","","","South Africa; ANC RICHMOND COUNCILLOR ASSASSINATED","467 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; Richardson Issues Statement from Paris","734 words"," Africa News","","",
"Sharon Hammond, African Eye News Service (South Africa)","","","South Africa;Agricultural training under threat due to budgetary cuts","240 words"," Africa News","","",
