"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"Modern Bweema, PANA Correspondent, Panafrican News Agency","","","Zambia;Opposition Criticizes Church Plans To Ordinate President","467 words"," Africa News","","",
"Panafrican News Agency","","","Zambia;Zambian Judge Releases 53 Suspects, Berates Police","414 words"," Africa News","","",
"Africa Policy Information Center (Washington, DC)","","","United States and Africa; Africa Policy Outlook 1997","1800 words"," Africa News","","",
"World Food Programme","","","Africa-at-Large; WFP Emergency Report No. 1 (1/3)","2734 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa; Emergency Update No. 73 on the Great Lakes (01/07)","920 words"," Africa News","","",
"Panafrican News Agency","","","Africa-at-Large;Currency: CFA Franc Looses Ground, Cedi Stable","867 words"," Africa News","","",
"Modern Bweema, PANA Correspondent, Panafrican News Agency","","","Zambia;Opposition Criticizes Church Plans To Ordinate President","467 words"," Africa News","","",
"Panafrican News Agency","","","Zambia;Zambian Judge Releases 53 Suspects, Berates Police","414 words"," Africa News","","",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Southern Africa;SADC States Preserve 5,000 Food Plant Species","627 words"," Africa News","","",
"Panafrican News Agency","","","Nigeria;Nigerian Politicians Condemn Bomb Blast","267 words"," Africa News","","",
"Panafrican News Agency","","","Ghana;Rawlings Takes Oath, Extends Olive Branch To Opposition","454 words"," Africa News","","",
"Panafrican News Agency","","","Mozambique;Controversial Environmental Project Abandoned in Mozambique","614 words"," Africa News","","",
"Reuben Tonga, Commentary, The Post of Zambia (Lusaka)","","","Sports - Soccer;Why We Can Thump South Africa's Bafana Bafana","654 words"," Africa News","","",
"Reuben Tonga, The Post of Zambia (Lusaka)","","","Sports - Soccer;Great Kalu For Clear Win","467 words"," Africa News","","",
"Committee to Protect Journalists (New York)","","","Zambia; CPJ Comdemns Arrest Of Journalist","480 words"," Africa News","","",
"Goodson Machona, The Post of Zambia (Lusaka)","","","Zambia;Anything In Red, Black And Green On Sale","427 words"," Africa News","","",
"Goodson Machona, The Post of Zambia (Lusaka)","","","Sports - Soccer;A Rainy Saturday!","320 words"," Africa News","","",
"Milimo Moyo, The Post of Zambia (Lusaka)","","","Zambia;Two South African Pilots Plead Not Guilty","334 words"," Africa News","","",
"Chilombo Mwondela, The Post of Zambia (Lusaka)","","","Business;Traders In Zambia Take Advantage Of Raging Fertilizer Shortage","427 words"," Africa News","","",
"Kunda Mwila, The Post of Zambia (Lusaka)","","","Zambia;Supreme Court Summons Post Editor","427 words"," Africa News","","",
"Kunda Mwila, The Post of Zambia (Lusaka)","","","Zambia;NGO Watchdog Meeting On","427 words"," Africa News","","",
"Reuben Phiri, The Post of Zambia (Lusaka)","","","Zambia;Itezhi-tezhi By-Election Date Set","347 words"," Africa News","","",
"Chilombo Mwondela, The Post of Zambia (Lusaka)","","","Business;Zambian Investors On Mandatory Environmental Studies","347 words"," Africa News","","",
"Kunda Mwila, The Post of Zambia (Lusaka)","","","Zambia;President Turns To Church Over Religious Desk He Set Up","320 words"," Africa News","","",
"Goodson Machona and Reuben Phiri, The Post of Zambia (Lusaka)","","","Arts and Entertainment;Dorothy Masuka Is In Zambia","374 words"," Africa News","","",
"Masautso Phiei, The Post of Zambia (Lusaka)","","","Zambia;Denouncers Of UNIP Protesters Warned Of Courting Violence","494 words"," Africa News","","",
"Goodson Machona, The Post of Zambia (Lusaka)","","","Business;Zambian Agribusiness To Help Determine Policy Change","334 words"," Africa News","","",
"Corporate Council On Africa","","","Africa-at-Large; First Trade/Outreach Mission To Francophone Africa","787 words"," Africa News","","",
"Zambia News Online","","","Sports - Soccer;Zambia Gears Up For World Cup Soccer Clash With South Africa","187 words"," Africa News","","",
"Zambia News Online","","","Zambia;Air Of Anxiety Over National Budget","387 words"," Africa News","","",
"Zambia News Online","","","Zambia;UNIP Facing Financial Difficulties","160 words"," Africa News","","",
"Zambia News Online","","","Zambia;Election Defeat Severe Blow To ZDC","147 words"," Africa News","","",
"Zambia News Online","","","Zambia;Protests Against Chiluba's Election Falter","160 words"," Africa News","","",
"Zambia News Online","","","Science and Health;Zambian AIDS Scourge Worries Policy Experts","160 words"," Africa News","","",
"Zambia News Online","","","Business and Finance;Zambian Manufacturers Demand Fair Competition With Zimbabwe","280 words"," Africa News","","",
"Zambia News Online","","","Zambia;High Fertiliser Prices Threaten Agriculture Production","227 words"," Africa News","","",
"Zambia News Online","","","Zambia;Zambia's Crime Rate Falls But Criminals Get More Brutal","1254 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa; Emergency Update No. 74 on the Great Lakes (01/08)","1374 words"," Africa News","","",
"Oumar Dieng, PANA Correspondent, Panafrican News Agency","","","Science and Health;Little Progress Made In Controlling Malaria","600 words"," Africa News","","",
"Lionel Williams, PANA Correspondent, Panafrican News Agency","","","South Africa;Presence Of Mercenaries In Zaire Denied","374 words"," Africa News","","",
"Panafrican News Agency","","","Ghana;Rawlings Worried By Flow Of Refugees Into Ghana","427 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","United States and Africa;United Nations Chief To Meet Clinton","227 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Ethiopia;Trial Witnesses Relate Disappearances of Relatives","227 words"," Africa News","","",
"Oumar Dieng, PANA Correspondent, Panafrican News Agency","","","Science and Health;Little Progress Made In Controlling Malaria","1190 words"," Africa News","","",
"Lionel Williams, PANA Correspondent, Panafrican News Agency","","","South Africa;Presence Of Mercenaries In Zaire Denied","374 words"," Africa News","","",
"Panafrican News Agency","","","Ghana;Rawlings Worried By Flow Of Refugees Into Ghana","427 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","United States and Africa;United Nations Chief To Meet Clinton","227 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Ethiopia;Trial Witnesses Relate Disappearances of Relatives","227 words"," Africa News","","",
"Olu Sarr, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa: Weekly Press Review","654 words"," Africa News","","",
"Panafrican News Agency","","","Great Lakes;Cholera Kills Over 100 In The Great Lakes Region","307 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Business and Finance;Blue Chips Tumble On GSE, But Volume Picks Up","307 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Buchner Linked To Inkatha Gun-running","694 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;Last Decades Of Menilek's Reign","1320 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;Prostitution and Its Impact","1934 words"," Africa News","","",
"Our Economics Correspondent, Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopia: Proximate Effects of Economic Policies","1480 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Ethiopia;Medical Veteran Says Care Deteriorating","1174 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Eritrea;Mysterious Deaths of Tourists and Driver","106 words"," Africa News","","",
"Addis Tribune (Addis Ababa)","","","Somalia;Formation of National Council Welcome News (Editorial)","200 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Weekly Suspends Publication to Protest Editors' Arrests","280 words"," Africa News","","",
"Our Staff Reporter, Addis Tribune (Addis Ababa)","","","Ethiopia;Trouble in the Church","387 words"," Africa News","","",
"Our economics Correspondent, Addis Tribune (Addis Ababa)","","","Business and Finance;Ethiopia: A Look at the Business Climate","2400 words"," Africa News","","",
"Gavin Evans, Mail and Guardian (Johannesburg)","","","Sports - General;Boxing Out Of God's Corner","2094 words"," Africa News","","",
"Jon Swift, Mail and Guardian (Johannesburg)","","","Sports - General;The Wonder Of Cricket","1387 words"," Africa News","","",
"Julian Drew, Mail and Guardian (Johannesburg)","","","Sports - General;Coming Soon To A School Near You - Turbojav","894 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;Titanic Showdown In Zambia","1147 words"," Africa News","","",
"Jon Swift, Mail and Guardian (Johannesburg)","","","Sports - General;Golf: It Doesn't Pay To Play Golf In SA","707 words"," Africa News","","",
"Shirley Kossick, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South Africa: New Fiction","800 words"," Africa News","","",
"Leon de Kock, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Voyager's Road To The Self","707 words"," Africa News","","",
"Stephen Gray, Mail and Guardain (Johannesburg)","","","Arts and Entertainment;Not A Sher-Fire Hit","427 words"," Africa News","","",
"Glynis O'Hara, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South African Music: Soaring Strings Of Soweto","987 words"," Africa News","","",
"Hazel Friedman, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Goedhals - From The Margin To The Mainstream","694 words"," Africa News","","",
"Hazel Friedman, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Fine Arts: More Power To 1997","320 words"," Africa News","","",
"Dror Eyal, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South African Music: Burning In The Bush","694 words"," Africa News","","",
"Jonathan Romney, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South African Film: Let's Twister Again","560 words"," Africa News","","",
"Andrew Worsdale, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South African Film: Who's Shooting Who?","947 words"," Africa News","","",
"Suzy Bell, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South Africa: Still-Life With Twitch","560 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;South Africa: The Return Of Kente","1040 words"," Africa News","","",
"Arthur Goldstuck, Mail and Guardian (Johannesburg)","","","Business and Finance;Notes from the Net","614 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;South Africa","1867 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;South Africa - Media In Brief","654 words"," Africa News","","",
"Lyndall Campher, Mail and Guardian (Johannesburg)","","","Business and Finance;South Africa - Spotlight On Media","587 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Ruckus over Media Probe","1040 words"," Africa News","","",
"Ros Coward, Mail and Guardian (Johannesburg)","","","Business and Finance;Celebrate The Millennium By Helping Out The Poor","800 words"," Africa News","","",
"Joseph Hanlon, Mail and Guardian (Johannesburg)","","","Business and Finance;IMF Pulls the Plug on Mozambique","614 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Eastern Cape Fails Tourists","960 words"," Africa News","","",
"Lynda Loxton, Mail and Guardian (Johannesburg)","","","Business and Finance;Pals Makes Friends With Uk Clothing Buyers","667 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Bobby Upbeat on Gold","920 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","Business and Finance;Shortlist for Sun Air","507 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;South Africa: Trade Talks on Track","720 words"," Africa News","","",
"Andrew Meldrum, Mail and Guardian (Johannesburg)","","","Zimbabwe;Woman Chief Rocks Zim Tradition","614 words"," Africa News","","",
"Anna Borzello, Mail and Guardian (Johannesburg)","","","Uganda;'Thou shalt not ride a bicycle'","1107 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Officials And Unions Urge Rethink Over Redundancies","680 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Chaos lies behind R1m pay-offs","1054 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Hot Air On The Rise In Intelligence Circles","627 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;TRC To Resist 'Special Amnesty'","1187 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","Business and Finance;South African Wine-makers Debate Putting A Cork In It","534 words"," Africa News","","",
"Gustav Thiel, Mail and Guardian (Johannesburg)","","","South Africa;Tourism Threatens Robben Island","894 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Parks Board Faces Split","1000 words"," Africa News","","",
"Justin Arenstein, Mail and Guardian (Johannesburg)","","","South Africa;Parks on the JSE","307 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Multi-billion Dolphin Deal 'Top Secret'","1014 words"," Africa News","","",
"Ann Eveleth, Mail and Guardian (Johannesburg)","","","South Africa;Durban a victim of crime smear","907 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;'Racism rife' in new defence force","1374 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;New bomb blast links to AWB","1414 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","Angola;Jonas Savimbi stalls peace process","734 words"," Africa News","","",
"Gustav Thiel, Mail and Guardian (Johannesburg)","","","Sports - General;Olympics: Hot odds on Cape Town bid","667 words"," Africa News","","",
"Lesley Cowling, Mail and Guardian (Johannesburg)","","","South Africa;South Africa's eagle is grounded","414 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Exam cheats finger examiners","747 words"," Africa News","","",
"Olu Sarr, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa: Weekly Press Review","654 words"," Africa News","","",
"Panafrican News Agency","","","Great Lakes;Cholera Kills Over 100 In The Great Lakes Region","307 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Business and Finance;Blue Chips Tumble On GSE, But Volume Picks Up","307 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Science and Health;Zambian Legislators Adopt Resolutions To Protect Environment","414 words"," Africa News","","",
"Panafrican News Agency","","","Southern Africa;Toward a Mine-Free Southern Africa","494 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;AGC, Ghana Government Agree On Assets Transfer","427 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa Urged To Invest In Human Resources","467 words"," Africa News","","",
"Malawi News Online","","","Malawi;Duty At Port Of Entry","187 words"," Africa News","","",
"Malawi News Online","","","Malawi;University Lecturers Accept Pay Rise","307 words"," Africa News","","",
"Malawi News Online","","","Malawi;UDF Leaders Grab Land In Mulanje","280 words"," Africa News","","",
"Malawi News Online","","","Malawi;Accidents Take Heavy Toll in Malawi","414 words"," Africa News","","",
"Malawi News Online","","","Science and Health;Malawi And Zambia To Participate In Un Hiv/Aids Pilot Project","307 words"," Africa News","","",
"Malawi News Online","","","Malawi;Bible Group Denies Pot Against Mosques","280 words"," Africa News","","",
"Malawi News Online","","","Malawi;Malawi Bureau of Standards Fires 12","187 words"," Africa News","","",
"Malawi News Online","","","Malawi;Malawian Group Seeks Abolition of Death Penalty","320 words"," Africa News","","",
"Malawi News Online","","","Malawi;Government Pushes For Increased Maize Productivity","747 words"," Africa News","","",
"Tim Chigodo, All Africa Press Service","","","Zimbabwe;Zimbabwe's "Riders For Health"","1080 words"," Africa News","","",
"APS Correspondent, All Africa Press Service","","","Rwanda;First Verdicts For Genocide Trials","1720 words"," Africa News","","",
"Sam Gonza, All Africa Press Service","","","Nigeria;Siege In Ogoniland Alarms Church Council","1747 words"," Africa News","","",
"All Africa Press Service","","","Somalia;Somali Groups Sign Peace Accord","880 words"," Africa News","","",
"All Africa Press Service","","","Zimbabwe;Kuchera Elected President Of Zimbabwean Church","1200 words"," Africa News","","",
"All Africa Press Service","","","Africa-at-Large;Clergy Caution African Politicians On Ethnicity","1094 words"," Africa News","","",
"All Africa Press Service","","","Nigeria;Nigerian Anglican Bishop Dies","720 words"," Africa News","","",
"All Africa Press Service","","","Zimbabwe;Media Urged To Publicize Landmines' Dangers","987 words"," Africa News","","",
"All Africa Press Service","","","Liberia;Fears Over Slow Disarmament In Liberia","414 words"," Africa News","","",
"All Africa Press Service","","","Nigeria;Vandalisation Of Nigeria's Church Schools Decried","467 words"," Africa News","","",
"Panafrican News Agency","","","Science and Health;Zambian Legislators Adopt Resolutions To Protect Environment","454 words"," Africa News","","",
"Panafrican News Agency","","","Southern Africa;Toward a Mine-Free Southern Africa","494 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;AGC, Ghana Government Agree On Assets Transfer","427 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa Urged To Invest In Human Resources","467 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","Burundi;UN Coordinator: Sanctions Hamper Burundi Relief Effort","387 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa;Emergency Update No. 77 on the Great Lakes (01/11-13)","1760 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Currency: Kenyan Shilling On The Rise, CFA Franc Depreciates","267 words"," Africa News","","",
"Panafrican News Agency","","","Sudan;Ethiopia Denies Bombing Sudanese Border Towns","507 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Tourism Tourism Earned Ghana 248 million dollars In 1996","907 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Southern Africa;External Forces Accused Of Promoting Split In Comesa","600 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Aviation ZEX Acquires Third Aircraft","280 words"," Africa News","","",
"World Food Programme","","","Africa-at-Large; WFP Emergency Report No. 2 (1/10)","3107 words"," Africa News","","",
"U.S. Agency for International Development (USAID)","","","United States and Africa; U.S. Great Lakes Situation Report No. 17","3587 words"," Africa News","","",
"Western Sahara Referendum Support Association","","","Western Sahara;Sahara Weekly News Update (1/6 - 1/12)","347 words"," Africa News","","",
"U.S. Agency for International Development (USAID)","","","United States and Africa; Consolidated Great Lakes Report No. 8 (1/4-10)","3080 words"," Africa News","","",
"UN Department of Humanitarian Affairs","","","East Africa; Emergency Update No. 78 on the Great Lakes (01/14)","1814 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. Calls For Speedy Resolution To Conflict In C.A.R.","214 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. Opposes South African Arm Sale to Syria","1320 words"," Africa News","","",
"Action by Churches Together (ACT)","","","East Africa; International Churches ACTions in Great Lakes Region","1547 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Currency: Kenyan Shilling On The Rise, CFA Franc Depreciates","267 words"," Africa News","","",
"Panafrican News Agency","","","Sudan;Ethiopia Denies Bombing Sudanese Border Towns","507 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Tourism Tourism Earned Ghana 248 million dollars In 1996","907 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Southern Africa;External Forces Accused Of Promoting Split In Comesa","600 words"," Africa News","","",
"Panafrican News Agency","","","Zimbabwe;Aviation ZEX Acquires Third Aircraft","280 words"," Africa News","","",
"Edwige Monguia, PANA Correspondent, Panafrican News Agency","","","Science and Health;Congo Releases Baby Gorillas Into The Wilds","774 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;OAU To Hold Budget Session In Libya","294 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Nigeria;Nigerian Parties Ask for Assistance From American Group","387 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Zimbabwe Stock Exchange Surges Wednesday","214 words"," Africa News","","",
"Panafrican News Agency","","","East Africa;Nyerere Warns African Leaders On Great Lakes","627 words"," Africa News","","",
"Olu Sarr, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Nigeria Airways Fires 250 More Workers","1031 words"," Africa News","","",
"Panafrican News Agency","","","Kenya-Coffee;Low Prices At Kenya's Coffee Mart","147 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Lagos Anti-Crime Drive Gets A Boost","200 words"," Africa News","","",
"Panafrican News Agency","","","Zaire;Tshisekedi Wants Unity Government To Tackle Crisis","320 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Azikiwe Will Be Laid To Rest Saturday","547 words"," Africa News","","",
"Mildred Mulenga, PANA Staff Correspondent, Panafrican News Agency","","","Zambia;Chiluba Says It Is Impossible To Postpone Elections","360 words"," Africa News","","",
"Panafrican News Agency","","","Ghana-Stocks Blue Chips Fall On Ghana Stock Exchange","347 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Nigeria Terminates Steel Contract With Russian Firm","360 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. Wants Continued Good Relations with Pretoria","1054 words"," Africa News","","",
"Congress of South African Trade Unions (Cosatu)","","","South Africa;Labor Welcomes Mine Health & Safety Law","494 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. Deplores Killing of Refugees in Burundi","240 words"," Africa News","","",
"Medecins Sans Frontieres (Paris)","","","Zaire;Situation of the Rwandan Refugees in Tingi-Tingi","507 words"," Africa News","","",
"Tim Exton, Mail and Guardian (Johannesburg)","","","Sports - Soccer;Southern Africa: Widows Waiting For Answers","1560 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;South Africa - A Passion Play Packed With Stars","1014 words"," Africa News","","",
"Jon Swift, Mail and Guardian (Johannesburg)","","","Sports - General;Cricket: Bowlers, And How They Are Used, Is The Difference","1374 words"," Africa News","","",
"Anthony Egan, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Book Review: Called By The Spirits","254 words"," Africa News","","",
"Maya Jaggi, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Book Review: In Love And Exile","480 words"," Africa News","","",
"Benjamin Pogrund, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Book Review: Reporting From The Frontline","1014 words"," Africa News","","",
"Derek Malcolm, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Body Art","320 words"," Africa News","","",
"Donna Marshall, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Voices Of The Dead","494 words"," Africa News","","",
"Brett Pyper, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Will The Band Play On?","1120 words"," Africa News","","",
"Stephen Moss, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Pop Go The Classics","614 words"," Africa News","","",
"Bafana Khumalo, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Very Flat - Life On TV","600 words"," Africa News","","",
"Charl Blignaut, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Live Theatre TV","267 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Poet Sues The Police","347 words"," Africa News","","",
"Charl Blignaut, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Mama Tembu's Getting Resurrected","854 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;New Head On The Block","800 words"," Africa News","","",
"Olu Sarr, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Africa: Weekly Press Review","747 words"," Africa News","","",
"Musengwa Kayaya, PANA Staff Correspondent, Panafrican News Agency","","","Sports - Soccer;Zambia's Draw With South Africa Frustrates Soccer Fans","600 words"," Africa News","","",
"Segun Adeyemi, PANA Correspondent, Panafrican News Agency","","","Sports - Soccer;Nigerian Soccer Star Moves To California","280 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Ethiopia;Ethiopia Denies Aiding Sudanese Rebels","387 words"," Africa News","","",
"Panafrican News Agency","","","Science and Health;At least 500 Die Of AIDS Weekly In Zimbabwe","280 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Zimbabwe Stock Exchange Surge May Be Short-lived","334 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Shares Traded Shoot Up On Ghana Stock Exchange","267 words"," Africa News","","",
"Panafrican News Agency","","","United States and Africa;Zambia Signs 50 Million Agreement With U.S.  Firm","147 words"," Africa News","","",
"Panafrican News Agency","","","Business and Finance;Nigeria Terminates Steel Contract With Russian Firm","360 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Briton, Nigerians Jailed For Drug Trafficking","307 words"," Africa News","","",
"Panafrican News Agency","","","United States and Africa;African Executives To Attend Exhibition In Houston","227 words"," Africa News","","",
"Justice And Peace Commission, National Catholic Secretariat","","","Liberia; Briefing Paper On Liberia","534 words"," Africa News","","",
"African Faith and Justice Network","","","Liberia; LIBERIA: Human Rights Update","3280 words"," Africa News","","",
"Centre For Development and Population Activities","","","Science and Health; Forum Seeks Answers To Adolescent Health Crisis","520 words"," Africa News","","",
