"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"John Eremu, New Vision (Kampala)","","","Uganda;Students March Against Wars","358 words"," Africa News","","",
"New Vision (Kampala)","","","Uganda;Punish Drug Smugglers! (Editorial)","510 words"," Africa News","","",
"Nathan Etengu, New Vision (Kampala)","","","East Africa;Kenya, Uganda Border Security Meeting For Thursday","113 words"," Africa News","","",
"Moses Sserwanga, New Vision (Kampala)","","","Uganda;Vice President Defends Her Style","228 words"," Africa News","","",
"John Eremu, New Vision (Kampala)","","","Uganda;Makerere Dean of Students Drops Kagingo, Opigo Law Suit","237 words"," Africa News","","",
"Charles Lubega, New Vision (Kampala)","","","Science and Health;Imported Cosmetics To Be Screened","154 words"," Africa News","","",
"Patrick Luganda, New Vision (Kampala)","","","Uganda;Heavy Rains Expected This Month","166 words"," Africa News","","",
"Yunusu Abbey, New Vision (Kampala)","","","Uganda;Old Kampala Accused Of Ruining Peace Efforts","320 words"," Africa News","","",
"Henry Tumwine, New Vision (Kampala)","","","Uganda;Prepare For Famine -- Says Minister","471 words"," Africa News","","",
"Margaret Munanga, New Vision (Kampala)","","","Uganda;Defence Minister Questions Kazini On Acholi Remarks","364 words"," Africa News","","",
"Emmy Allio, New Vision (Kampala)","","","Uganda;Woman Commander Foils Kony Attack","275 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Drought Fund Row Heated Debate Over Relief Fund Structure","683 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Land Policy Tabled, But Niggles Persist","226 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Business and Finance;Lack of Namibian Investment Opportunities Results in Asset Drain","370 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Zambia;Zambia News Roundup","1218 words"," Africa News","","",
"i'Afrika News Network (Copenhagen)","","","Zambia;School Girls' Pregnancy Policy Debate Rages On","1136 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Ethiopia News Roundup","614 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Association For Handicapped Demands For Special Escalators","145 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Prime Minister Confers With Japanese, Kuwaiti Delegation","274 words"," Africa News","","",
"Ethiopian News Agency","","","Science and Health;Ethiopian National States Construct Health Institutions","381 words"," Africa News","","",
"Asfaw Gemmeda, Ethiopian News Agency","","","Africa-at-Large;EOTC to host Assembly of All African Conference of Churches","444 words"," Africa News","","",
"Ethiopian News Agency","","","Ethiopia;Ethiopia supports UN resolution: President","203 words"," Africa News","","",
"Alide Dasnois, Cape Argus (Cape Town)","","","Business and Finance;South Africa: Partners Sought In Big Meat Plant","449 words"," Africa News","","",
"Iain Macdonald, Cape Argus (Cape Town)","","","Arts and Entertainment;Teletubbies burble into South Africa","510 words"," Africa News","","",
"Myrna Robins, Cape Argus (Cape Town)","","","South Africa;Women of the Western Cape Say No To Violence","548 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;A city at the crossroads (Editorial)","315 words"," Africa News","","",
"Johan Schronen, Cape Argus (Cape Town)","","","South Africa;Moroccans 'hired to kill'","380 words"," Africa News","","",
"Gachoka King'ori, The Nation (Nairobi)","","","Kenya;Nairobi Mayor Decries Meddling","323 words"," Africa News","","",
"Nation Reporters, The Nation (Nairobi)","","","Kenya;Queries Raised On Cash Use","515 words"," Africa News","","",
"Justin Konchora and Eric Shimoli, The Nation (Nairobi)","","","Kenya;Attorney-General Says Government Fully Behind Reforms","798 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Negotiate To End Teachers' Strike (Editorial)","385 words"," Africa News","","",
"Nation Reporter, The Nation (Nairobi)","","","Kenya;Sugar: Orengo wins plea","289 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;KNUT Unmoved As Strike Dawns","849 words"," Africa News","","",
"Samuel Ngoma, Times of Zambia (Lusaka)","","","Science and Health;Zambian Hospitals' garbage in and out!","2001 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;We're Trying, Says Education Minister","297 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Science and Health;Follow Health Programmes, Zambia Minister Urged Parents","245 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Leasing Firm Formed","307 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambia Should Guard Against Complacence, Says Trader","522 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambian Shares Trading Activity Falls","315 words"," Africa News","","",
"News desk, Times of Zambia (Lusaka)","","","United States and Africa;The West Should Support Kabila (Editorial)","436 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Congo Kinshasa;Kabila cancels visit to Zambia","787 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;MPs Take State To Task","576 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Strike Called Off","729 words"," Africa News","","",
"Gerald Mulwanda, Times of Zambia (Lusaka)","","","Sports - General;Bwalya's camp turns down $2,500 stand-aside cash","317 words"," Africa News","","",
"Janet Ilunga, Times of Zambia (Lusaka)","","","Zambia;State Scouts For Stadia Money","174 words"," Africa News","","",
"Melody Mwala, Times of Zambia (Lusaka)","","","Sports - Soccer;Zambia In Lone Goal Victory","499 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Youth League Attacks Water Privatisation Scheme","613 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Help Develop Neighboring Countries, Says Mbeki","212 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","Business and Finance;Sasol Launches R16-million Community Project","146 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Germans Fund Novel Anti-Crime Sports Project","335 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Nelspruit To Award SA's First Water Concessions","531 words"," Africa News","","",
"Dumisane Lubisi, African Eye News Service (South Africa)","","","South Africa;Council Strips Chiefs Of Land Ownership","507 words"," Africa News","","",
"Ghion Hagos, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;Tutu In Addis For African Churches Assembly","771 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","West Africa;Abacha Urges Freetown Junta To Resume Talks With ECOWAS","250 words"," Africa News","","",
"Panafrican News Agency","","","Southern Africa;Mugabe Says Cooperation Needed To Fight Crime","318 words"," Africa News","","",
"International Freedom Of Expression Exchange (Ifex)","","","Nigeria; Clean sweep of the media in Nigeria, says Reporters' Group","695 words"," Africa News","","",
"Truth and Reconciliation Commission","","","South Africa; Truth Panel Denies Amnesty to Convicted Murderer","467 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; Neumann Discusses Algerian Situation At Senate","2318 words"," Africa News","","",
"United Nations","","","Malawi; General Assembly Speech by Malawi Foreign Minister","427 words"," Africa News","","",
"United Nations","","","Congo Kinshasa; General Assembly Speech by Congolese Minister","853 words"," Africa News","","",
"United Nations","","","Sierra Leone; General Assembly Speech by the President of Sierra Leone","979 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. Seeks 'Satisfactory Explanation' Of Nigeria Incident","198 words"," Africa News","","",
"United Nations","","","Benin; General Assembly Speech by Benin Foreign Minister","354 words"," Africa News","","",
"United Nations","","","Algeria; General Assembly Speech by Algerian Minister","677 words"," Africa News","","",
"Ghana Independent (Accra)","","","Ghana;Nana Konadu's Desperate 2000 Bid","1141 words"," Africa News","","",
"Andrew Edwin Arthur, Ghana Independent (Accra)","","","Ghana;Muslims Close Gap With Christians","453 words"," Africa News","","",
"Ghana Independent (Accra)","","","Ghana;Life After Presidency (Editorial)","422 words"," Africa News","","",
"Richmond Keelson, Ghana Independent (Accra)","","","Ghana;Ghanaian Killed by Algerian Fundamentalist","266 words"," Africa News","","",
"Joshua Nimako, Ghana Independent (Accra)","","","Ghana;MP, Ex MP In A Fierce Clash","500 words"," Africa News","","",
"Kojo Larbi, Ghana Independent (Accra)","","","Ghana;Rawlings To Visit Fatherland","467 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Sports - Soccer;Ex-Nigerian Coach Goes To Burkina Faso","172 words"," Africa News","","",
"Goodson Machona, Post of Zambia (Lusaka)","","","Sports - Soccer;Preps For Africa Cup On Hold","369 words"," Africa News","","",
"Dickson Jere, Post of Zambia (Lusaka)","","","Science and Health;UNICEF Refutes Zambia's Infant Mortality Claims","982 words"," Africa News","","",
"Joe Kaunda, Post of Zambia (Lusaka)","","","Zambia;Police Question Gutted Society House Tenants","288 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Zambia;VJ Complains Of Rubber-Stamping","378 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Business and Finance;Zambia Roads Board Cashes On Bank Guarantees","469 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Zambia;MP Asks Minister of Finance To Budget For Famine","631 words"," Africa News","","",
"Mukalya Nampito, Post of Zambia (Lusaka)","","","Business and Finance;Meridien Liquidators Demand K300m","284 words"," Africa News","","",
"Chilombo Mwondela, Post of Zambia (Lusaka)","","","Zambia;Minister Attributes Magistrates' Strikes To Poor Communication","176 words"," Africa News","","",
"Masautso Phiri, Post of Zambia (Lusaka)","","","Zambia;Gen. Chituwo Reports On Kaunda's Shooting","1383 words"," Africa News","","",
"John Oywa and James Awino, The Nation (Nairobi)","","","Science and Health;Cholera Kills Three More In Kenya","427 words"," Africa News","","",
"Nation Correspondent, The Nation (Nairobi)","","","Kenya;Printer Arrested","215 words"," Africa News","","",
"The Nation (Nairobi)","","","East Africa;Khartoum, Foes Must Make Peace (Editorial)","361 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Students Burn Bus, Store To Show Support","370 words"," Africa News","","",
"Nation Team, The Nation (Nairobi)","","","Kenya;Teachers' Fury Cripples School","1896 words"," Africa News","","",
"James Mwakisyala, The East African (Nairobi)","","","Tanzania;Tanzania Poised for Take-off, Says IMF","737 words"," Africa News","","",
"Charles Onyango-Obbo (Commentary), The East African (Nairobi)","","","East Africa;Time to Think About the Big Farmers","669 words"," Africa News","","",
"The East African (Nairobi)","","","United States and Africa;Africa's Role at the UN","602 words"," Africa News","","",
"John Githongo (Commentary), The East African (Nairobi)","","","Kenya;Professor of Politics Turned It All Around","646 words"," Africa News","","",
"Robert Rweyemamu (Commentary), The East African (Nairobi)","","","Tanzania;Bringing Cost-Cutting to the Wedding Day","581 words"," Africa News","","",
"The East African (Nairobi)","","","South Africa;Winnie in the Dock Again (Editorial)","383 words"," Africa News","","",
"The East African (Nairobi)","","","Business and Finance;Bad Service By Uganda Airlines","245 words"," Africa News","","",
"Gitau Warigi, The East African (Nairobi)","","","Science and Health;Africa Aids Study Generates Anger, Bitter Exchanges","760 words"," Africa News","","",
"The East African (Nairobi)","","","Kenya;Kenya Makes $4.4m Order for Anti-Riot Vehicles","986 words"," Africa News","","",
"Lillian Nsubuga, The East African (Nairobi)","","","Uganda;Call to Use Expatriates Angers Ugandans","917 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Residents Will Have Their Say On "Hot" Housing Bills","281 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Auditor General Asked To Probe Mpumalanga's Performance","518 words"," Africa News","","",
"Justin Arenstein, African Eye News Service (South Africa)","","","South Africa;Mpumalanga Deliberates High Court Site","239 words"," Africa News","","",
"United Nations","","","Burundi; General Assembly Speech by Burundi Minister","714 words"," Africa News","","",
"United Nations","","","Cote d'Ivoire; General Assembly Speech By Cote d'Ivoire Minister","436 words"," Africa News","","",
"United Nations","","","Chad; General Assembly Speech by Chad Foreign Minister","724 words"," Africa News","","",
"United Nations","","","Mozambique; General Assembly Speech By Mozambique Minister","676 words"," Africa News","","",
"United Nations","","","Senegal; General Assembly Speech By Senegalese Minister","413 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;Nana Konadu's Desperate 2000 Bid","1141 words"," Africa News","","",
"Andrew Edwin Arthur, Ghanaian Independent (Accra)","","","Ghana;Muslims Close Gap With Christians","453 words"," Africa News","","",
"Ghanaian Independent (Accra)","","","Ghana;Life After Presidency (Editorial)","422 words"," Africa News","","",
"Richmond Keelson, Ghanaian Independent (Accra)","","","Ghana;Ghanaian Killed by Algerian Fundamentalist","266 words"," Africa News","","",
"Joshua Nimako, Ghanaian Independent (Accra)","","","Ghana;MP, Ex MP In A Fierce Clash","500 words"," Africa News","","",
"Kojo Larbi, Ghanaian Independent (Accra)","","","Ghana;Rawlings To Visit Fatherland","467 words"," Africa News","","",
"Cape Argus (Cape Town)","","","South Africa;Commitment by candlelight (Editorial)","308 words"," Africa News","","",
"Joseph Aranes (Commentary), Cape Argus (Cape Town)","","","South Africa;Time For Decisive Action On Gang War","823 words"," Africa News","","",
"Llewellyn Jones, Cape Argus (Cape Town)","","","Science and Health;Shock Findings On SA Medical Aid Plans","539 words"," Africa News","","",
"Joseph Aranes and Ashley Smith, Cape Argus (Cape Town)","","","South Africa;Police Minister's Men Halt Peace Bid","705 words"," Africa News","","",
"Catherine Mutale (Commentary), Times of Zambia (Lusaka)","","","Business and Finance;High phone tariffs: Answer lies in competition","1412 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Bank Bails Out State With K1.1bn","536 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","United States and Africa;129 Zambians Shortlisted For US Resident Visas","241 words"," Africa News","","",
"Sports Reporter, Times of Zambia (Lusaka)","","","Sports - General;Find cash for soccer team now, Sichula prods State","425 words"," Africa News","","",
"Martin Musunka, Times of Zambia (Lusaka)","","","Sports - General;Shabani rugby side jets in for two encounters","299 words"," Africa News","","",
"Melody Mwala, Times of Zambia (Lusaka)","","","Sports - General;Singh Detained, Freed","388 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambian Honey Firm Expands Storage","198 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;New PVA Paint Launched in Zambia","163 words"," Africa News","","",
"Times of Zambia (Lusaka)","","","Business and Finance;Risk retention: Unfunded or funded","726 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambia Revenue Authority Tightens Anti-Smuggling Screws","290 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Zambia's Stock Market Growth Is Tops","502 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;MMD Poll Results Nullified In Four Branches","519 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;State Denies Secret Judicial Fund Allegations","602 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Public Service Strike Fizzles Out","226 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Now Zamtel Hikes Tariffs","329 words"," Africa News","","",
"News desk (Editorial), Times of Zambia (Lusaka)","","","Business and Finance;More Competition Needed In Cellular Phone Business","346 words"," Africa News","","",
"Vision Reporter, New Vision (Kampala)","","","Business and Finance;British Trade Mission Attends Uganda Fair","213 words"," Africa News","","",
"Levi Ochieng, New Vision (Kampala)","","","Business and Finance;Uganda's South Bukedi Union In Bumper Record Profit","285 words"," Africa News","","",
"Anthony Mugeere, New Vision (Kampala)","","","Business and Finance;Uganda Phone Directory Ready","184 words"," Africa News","","",
"David Musoke, New Vision (Kampala)","","","Business and Finance;Ugandan Unemployed Prey For Rebel Activity","207 words"," Africa News","","",
"Edson Bagada, New Vision (Kampala)","","","Business and Finance;Uganda: SHS 25BN Ready To Lend To Exporters, Importers","225 words"," Africa News","","",
"Jennifer Bakyawa, New Vision (Kampala)","","","Business and Finance;Ugandan Cotton Farmers Nip Off Agriculture Ministry","326 words"," Africa News","","",
"Abraham Odeke, New Vision (Kampala)","","","East Africa;Ugandan Maize Crosses Border Into Kenya","268 words"," Africa News","","",
"Grace Matsiko, New Vision (Kampala)","","","Congo Kinshasa;Missing Congolese Found Dead in Uganda","333 words"," Africa News","","",
"Moses Sserwanga, New Vision (Kampala)","","","Uganda;More Troops Deployed","214 words"," Africa News","","",
"Paul Busharizi, New Vision (Kampala)","","","Uganda;4 Expats Set To Join URA","244 words"," Africa News","","",
"New Vision (Kampala)","","","East Africa;No Need For Famine! (Editorial)","460 words"," Africa News","","",
"New Vision (Kampala)","","","Congo Brazzaville;Fighting Intensifies In Congo","307 words"," Africa News","","",
"Juliet Nankinga, New Vision (Kampala)","","","East Africa;Four Sudanese Surface In Uganda Court","342 words"," Africa News","","",
"John Kakande, New Vision (Kampala)","","","Uganda;Museveni Advises Ankole Monarchists","549 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;Election Body Wants More Independence","437 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Rwanda;UN Team in Namibia To Quiz Genocide Suspect","454 words"," Africa News","","",
"Staff Reporters, The Namibian (Windhoek)","","","Namibia;Journalists' Association Seeks Clarity On Liberties","621 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Business and Finance;Bidders Sought For Namibia-South Africa Power Line","357 words"," Africa News","","",
"Chrispin Inambao, The Namibian (Windhoek)","","","Namibia;The jobs roll in ...","768 words"," Africa News","","",
"Media Institute of Southern Africa (MISA)","","","Namibia; Namibia Journalists Call For Meeting On Restrictive Law","611 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Business and Finance;Namibians Reluctant To Invest In Own Economy","420 words"," Africa News","","",
"Tabby Moyo, The Namibian (Windhoek)","","","Namibia;CCN Wants Government To Drop Abortion Bill","554 words"," Africa News","","",
"Christof Maletsky, The Namibian (Windhoek)","","","Namibia;'Land Policy Aimed At Averting War'","325 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","South Africa;Winnie Madikizela-Mandela Pleads Innocence","535 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","South Africa;ANC's Acting Secretary-General Named Ambassador to London","216 words"," Africa News","","",
"Paul Ejime, PANA Staff Correspondent, Panafrican News Agency","","","Nigeria;Nigeria Gets Nine More Private Radio Stations","255 words"," Africa News","","",
"Newton Kanhema, PANA Correspondent, Panafrican News Agency","","","Arts and Entertainment;Michael Jackson 'Beat It' To His Hotel Room","495 words"," Africa News","","",
"Mfumu Kibaniakina, PANA Staff Correspondent, Panafrican News Agency","","","Africa-at-Large;PANA Press Ltd Replaces PANA","639 words"," Africa News","","",
"African Campaigns to Ban Landmines","","","Africa-at-Large; Africa Day of Action Against Landmines","817 words"," Africa News","","",
"U.S. Department of State","","","United States and Africa; U.S. Urges Quick Resumption of UN's Congo Inquiry","947 words"," Africa News","","",
"Jan Raath, Mail and Guardian (Johannesburg)","","","Malawi;Banda has little to celebrate as he reaches his century","739 words"," Africa News","","",
"Mail & Guardian reporters, Mail and Guardian (Johannesburg)","","","South Africa;Fivaz takes on Mbeki police squad","883 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","South Africa;Amnesty report on arms labelled 'far-fetched'","485 words"," Africa News","","",
"Wally Mbhele, Mail and Guardian (Johannesburg)","","","South Africa;Gauteng ANC leadership at mercy of branches","571 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;New force rising","636 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Science and Health;Mothers give support to placebo trials","604 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Growing up without books","1132 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Science and Health;Death hangs in the Athlone air","1019 words"," Africa News","","",
"Swapna Prabhakaran, Mail and Guardian (Johannesburg)","","","South Africa;Mandela museum may cost R80m","704 words"," Africa News","","",
"Andy Duffy, Mail and Guardian (Johannesburg)","","","South Africa;Mbeki drawn into Medunsa row","562 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Mozambique;Peasant victory in Mozambique","1391 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;Self-reliance brings hamlet back to life","864 words"," Africa News","","",
"Gustav Thiel, Mail and Guardian (Johannesburg)","","","Science and Health;South Africa fails to fight global warming","318 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;The press: When getting it right is wrong (Editorial)","486 words"," Africa News","","",
"David McDonald (Commentary), Mail and Guardian (Johannesburg)","","","Southern Africa;Africa is not crashing the gates","880 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;The case of the black bourgeoisie","1052 words"," Africa News","","",
"Marion Edmunds, Mail and Guardian (Johannesburg)","","","Science and Health;Pallo Jordan's monkey business: exporting to France","661 words"," Africa News","","",
"Wally Mbhele, Mail and Guardian (Johannesburg)","","","South Africa;Mokaba tackles SACP","550 words"," Africa News","","",
"Steve Morris, Mail and Guardian (Johannesburg)","","","Sports - General;Rugby: Now Luyt will need all his survival skills","880 words"," Africa News","","",
"Andrew Muchineripi, Mail and Guardian (Johannesburg)","","","Sports - Soccer;Nations Cup is the first hurdle","795 words"," Africa News","","",
"Roger Prabasarkar, Mail and Guardian (Johannesburg)","","","Sports - General;Cricket: In the line of fire","1336 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","South Africa;eM&G's big net deal","304 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Film: Saddam in Upington","792 words"," Africa News","","",
"Glynis O'Hara, Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Celebrating the continent's sounds","670 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Arts and Entertainment;Music: African healing","799 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Smashing the monopoly of the rich","1170 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Small printers lose out on tender work","713 words"," Africa News","","",
"Mungo Soggot, Mail and Guardian (Johannesburg)","","","Business and Finance;Economists disinvest from the JSE","340 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Unions target ministers for apartheid damages","629 words"," Africa News","","",
"Sechaba ka'Nkosi, Mail and Guardian (Johannesburg)","","","Business and Finance;Child labour law dispute","709 words"," Africa News","","",
"Mail and Guardian (Johannesburg)","","","Business and Finance;Crackdown on big spenders","607 words"," Africa News","","",
"Zimbabwe Independent(Harare)","","","Business and Finance;Coca-Cola Rejects Affirmative Action Group's Demand","361 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Legal Battle Over Zvimba Farm","634 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Government Owes Bulawayo $114 Million","287 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Zimbabwe's Old Mutual Unlikely to Get Banking Licence","456 words"," Africa News","","",
"Zimbabwe Independent(Harare)","","","Business and Finance;Harare Councils Sells Land to Zvinavazhe Investments","516 words"," Africa News","","",
"Zimbabwe Independent(Harare)","","","Business and Finance;Zimbabweans Jostle For Lucrative Congo Deals","652 words"," Africa News","","",
"Vincent Kahiya, Zimbabwe Independent(Harare)","","","Sports - Soccer;Dynamos FC To Become Public Company","600 words"," Africa News","","",
"Eric Bloch (Column), Zimbabwe Independent (Harare)","","","Zimbabwe;Negative Reaction To Water Problems","1210 words"," Africa News","","",
"Paolo Mauro (Commentary), Zimbabwe Independent (Harare)","","","Zimbabwe;Cutting Edge: Why worry about corruption?","1682 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;All El Nino Needs Is Preparation (Editorial)","743 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Business and Finance;Zimbabwe Dollar Depreciates","258 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;Muckraker Column: Does Anybody Recall Being Consulted?","1537 words"," Africa News","","",
"Zimbabwe Independent (Harare)","","","Zimbabwe;MP Lambasts Government Over Corruption","756 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;500 Leave Zesco Union in Zambia","235 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;2,000 Miners Lament Over House Sales","329 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Zambia;Opposition Parties Fragmented, Says HP","245 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Science and Health;Zambian Health Minister Lands Top World Bank Job","387 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Business and Finance;Chibesakunda Takes Up Zambia Broadcasting Petition","265 words"," Africa News","","",
"Times Reporter, Times of Zambia (Lusaka)","","","Science and Health;200 Animals Perish in Western Zambia","274 words"," Africa News","","",
"Melody Mwala, Times of Zambia (Lusaka)","","","Sports - Soccer;Players' Rebellion Looms At Power","403 words"," Africa News","","",
"Davey Sakala (Column), Times of Zambia (Lusaka)","","","Sports - Soccer;Sport On","409 words"," Africa News","","",
"Business Review Reporter, Times of Zambia (Lusaka)","","","Zambia;Germans Commit K1.3bn To Aid","274 words"," Africa News","","",
"Catherine Mutale, Times of Zambia (Lusaka)","","","Zambia;World Bank, IMF Ponder Zambia's Debt Relief","344 words"," Africa News","","",
