obsid	ucdpid	dyadid	side_a	acr	side_b	startdate	enddate	oldid	oldconfid	olddyadid	extraterritorial	rebpolwing	rebpolwinglegal	rebestimate	rebestlow	rebesthigh	rebstrength	centcontrol	strengthcent	mobcap	armsproc	fightcap	terrcont	terrname	effterrcont	conflicttype	transconstsupp	rebextpart	rebpresosts	presname	rebel.support	rtypesup	rsupname	gov.support	gtypesup	gsupname	govextpart	type.of.termination	victory.side	prevactive	prevact.ref	oldobsid
NSA.3.4-43	10	220	Philippines	PHI	Military Faction (forces of Honasan, Abenina & Zumel)	1987-01-27	1990-12-31	1100	1100.2-2	1100.3-1	0	no	NA	3000	350	6000	much weaker	yes	moderate	low	low	low	no	NA	NA	coup d'etat	no	no	no		no	NA		explicit	military	USA	no	5	NA	0		NSA.3.3-43
NSA.3.4-46	10	469	Philippines	PHI	Huk	1946-07-01	1954-09-15	1100	1100.1	1100.1-1	0	explicit link	no	50000	50000	50000	parity	yes	moderate	moderate	low	moderate	yes	Central Luzon	moderate	communist rebellion	no	no	no		no	NA		explicit	military	USA	no	4	1	1		NSA.3.3-46
NSA.3.4-49	11	478	Soviet Union	RUS	Forest Brothers	1946-01-01	1948-12-31	1110	1110	1110-1	0	no	NA	35000	30000	40000	weaker	no	NA	moderate	low	low	no	NA	NA	anti-colonial	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-49
NSA.3.4-52	12	479	Soviet Union	RUS	LTS[p]A	1946-01-01	1946-12-31	1120	1120	1120-1	0	no	NA	10000	10000	10000	weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	0		NSA.3.3-52
NSA.3.4-55	12	481	Soviet Union	RUS	LNPA	1946-01-01	1946-12-31	1120	1120	1120-2	0	no	NA	10000	10000	10000	weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	0		NSA.3.3-55
NSA.3.4-58	13	482	Soviet Union	RUS	BDPS	1946-06-06	1948-12-31	1130	1130	1130-1	0	no	NA	25000	20000	30000	weaker	yes	low	moderate	low	low	no	NA	NA	anti-colonial	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-58
NSA.3.4-61	14	483	Soviet Union	RUS	UPA	1946-01-01	1950-03-05	1140	1140	1140-1	0	explicit link	no	35000	30000	40000	weaker	yes	moderate	moderate	low	low	no	NA	NA	anti-colonial	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	0		NSA.3.3-61
NSA.3.4-64	17	668	France	FRN	Viet Nam Doc Dong Min Hoi	1946-11-20	1954-07-21	1170	1170	1170-1	1	explicit link	no	250000	250000	250000	parity	yes	moderate	high	moderate	moderate	yes	Parts of North Vietnam	moderate	anti-colonial	no	no	no		explicit	military	USSR; China 	no	NA		no	7	NA	0		NSA.3.3-64
NSA.3.4-67	18	580	China	CHN	Taiwanese insurgents	1947-02-28	1947-03-21	1180	1180	1180-1	0	no	NA	NA	NA	NA	much weaker	yes	low	moderate	low	low	no	NA	NA	civil war	no	no	no	.	no	NA		no	NA	.	no	4	1	0		NSA.3.3-67
NSA.3.4-70	19	756	Hyderabad	IND	CPI	1947-06-01	1948-09-17	1190	1190	1190-1	0	no	NA	NA	NA	NA	weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	6	NA	0		NSA.3.3-70
NSA.3.4-73	21	669	France	FRN	MDRM	1947-03-29	1947-12-31	1210	1210	1210-1	1	explicit link	yes	5500	5000	6000	weaker	yes	moderate	moderate	low	low	yes	Parts of Rural Madagascar	moderate	anti-colonial	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-73
NSA.3.4-76	22	474	Paraguay	PAR	Military Faction (forces of General Rodriguez)	1989-02-03	1989-02-03	1220	1220.3	1220.3-1	0	explicit link	yes	4000	4000	4000	parity	yes	high	moderate	moderate	high	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-76
NSA.3.4-79	22	671	Paraguay	PAR	Military faction (forces of General Alfredo Stroessner)	1954-05-05	1954-05-05	1220	1220.2	1220.2-1	0	no	NA	NA	NA	NA	stronger	yes	high	moderate	high	high	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-79
NSA.3.4-82	22	673	Paraguay	PAR	Opposition coalition [Febreristas, Liberals and Communists]	1947-03-07	1947-08-21	1220	1220.1	1220.1-1	0	explicit link	yes	3300	2000	4500	weaker	yes	high	moderate	moderate	moderate	yes	Concepcion and eastern Paraguay	high	civil war	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-82
NSA.3.4-85	23	306	Myanmar	MYA	KNU	1966-01-01	1987-12-31	1230	1230	1230-1	0	explicit link	no	6000	2000	20000	much weaker	yes	high	low	low	low	yes	Parts of the Karen Region and Shan State	moderate	secessionist conflict	no	no	extensive	Thailand	alleged	military	Thailand	no	NA		no	NA	NA	1	NSA.3.4-94,NSA.3.4-97	NSA.3.3-85
NSA.3.4-88	23	306	Myanmar	MYA	KNU	1988-01-01	2011-12-31	1230	1230	1230-1	0	explicit link	no	6000	2000	20000	much weaker	yes	high	low	low	low	yes	Parts of the Karen Region and Shan State	moderate	secessionist conflict	no	no	extensive	Thailand	explicit	military	India	explicit	military	China	no	NA	NA	1	NSA.3.4-85,NSA.3.4-94,NSA.3.4-97	NSA.3.3-88
NSA.3.4-91	23	314	Myanmar	MYA	God's army	2000-01-27	2000-12-31	NA	NA	NA	0	no	NA	200	200	200	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	no	NA	no	NA	NA	explicit	military	China	no	4	1	1	NSA.3.4-85,NSA.3.4-88,NSA.3.4-94,NSA.3.4-97	NSA.3.3-91
NSA.3.4-94	23	790	Myanmar	MYA	KNUP	1949-02-01	1949-12-31	1230	1230	1230-1	0	explicit link	no	10000	10000	10000	weaker	yes	high	moderate	moderate	moderate	yes	Much of the Karen Region	moderate	secessionist conflict	no	no	extensive	Thailand	alleged	military	Thailand	no	NA		no	NA	NA	0		NSA.3.3-94
NSA.3.4-97	23	790	Myanmar	MYA	KNUP	1950-01-01	1975-12-31	NA	NA	NA	0	explicit link	no	600	600	600	weaker	yes	high	moderate	low	low	yes	Areas along border with Thailand	moderate	ethnic conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	6.1	NA	1	NSA.3.4-94	NSA.3.3-97
NSA.3.4-100	23	805	Myanmar	MYA	DKBA 5	2010-11-07	2011-12-31	NA	NA	NA	0	no	NA	1400	1400	1400	much weaker	yes	moderate	low	low	low	no	NA	NA	ethnic conflict	no	no	no	no	no	NA	NA	no	NA	NA	no	NA	NA	1	NSA.3.4-85,NSA.3.4-88,NSA.3.4-94,NSA.3.4-97	NSA.3.3-100
NSA.3.4-103	24	305	Myanmar	MYA	BCP	1948-05-31	1953-10-31	1240	1240.1	1240.1-1	0	explicit link	yes	4000	4000	4000	weaker	yes	moderate	moderate	moderate	moderate	yes	Much of Burma	moderate	communist rebellion	no	no	some	China	explicit	military	China	no	NA		no	NA	NA	0		NSA.3.3-103
NSA.3.4-106	24	305	Myanmar	MYA	BCP	1953-11-01	1958-07-31	1240	1240.1	1240.1-1	0	explicit link	no	4500	4000	5000	weaker	yes	moderate	moderate	moderate	low	yes	Parts of Burma	moderate	communist rebellion	no	no	some	China	explicit	military	China	no	NA		no	NA	NA	1	NSA.3.4-103	NSA.3.3-106
NSA.3.4-109	24	305	Myanmar	MYA	BCP	1958-08-01	1988-09-18	1240	1240.1	1240.1-1	0	explicit link	no	20000	20000	20000	weaker	yes	moderate	moderate	moderate	low	yes	Parts of Burma	moderate	communist rebellion	no	no	some	China	explicit	military	China	no	NA		no	5	NA	1	NSA.3.4-103,NSA.3.4-106	NSA.3.3-109
NSA.3.4-112	24	322	Myanmar	MYA	ABSDF	1990-03-20	1994-12-31	1240	1240.2	1240.2-1	0	explicit link	no	2250	500	4000	much weaker	yes	low	low	low	low	no	NA	NA	civil war	no	no	some	Thailand	no	NA	no	no	NA		no	5	NA	0		NSA.3.3-112
NSA.3.4-115	24	677	Myanmar	MYA	Red Flag Movement	1948-03-28	1950-12-31	1240	1240.1	1240.1-2	0	explicit link	yes	3000	3000	3000	weaker	yes	moderate	low	low	low	no	NA	NA	communist rebellion	NA	NA	NA	.	NA	NA	.	NA	NA		NA	5	NA	1	NSA.3.4-103	NSA.3.3-115
NSA.3.4-118	24	677	Myanmar	MYA	Red Flag Movement	1970-01-01	1970-12-31	NA	NA	NA	0	explicit link	no	NA	NA	NA	much weaker	yes	moderate	low	low	low	yes	Parts of Irrawaddy Delta	moderate	communist rebellion	no	no	no	NA	no	NA	NA	no	NA	NA	no	4	1	1	NSA.3.4-103,NSA.3.4-115	NSA.3.3-118
NSA.3.4-121	24	678	Myanmar	MYA	PVO - White Band faction	1948-01-01	1953-12-31	NA	NA	NA	0	explicit link	yes	4000	4000	4000	weaker	yes	high	moderate	moderate	moderate	yes	Parts of central Burma	low	communist rebellion	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	0		NSA.3.3-121
NSA.3.4-124	25	312	Myanmar	MYA	Rohingya Solidarity Organisation	1991-12-29	1994-12-31	1250	1250.3	1250.3-1	0	no	NA	5000	300	6000	much weaker	yes	low	low	low	low	no	NA	NA	ethnic conflict	no	no	some	Bangladesh	explicit	military	Libya	no	NA		no	5	NA	0		NSA.3.3-124
NSA.3.4-127	25	323	Myanmar	MYA	Arakan Rohingya Islamic Front	1991-12-31	1992-12-31	1250	1250.3	1250.3-2	0	explicit link	no	300	100	500	much weaker	yes	low	low	low	low	no	NA	NA	ethnic conflict	no	no	some	Bangladesh	no	NA		no	NA		no	5	NA	0		NSA.3.3-127
NSA.3.4-130	25	794	Myanmar	MYA	RPF	1973-01-01	1978-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	1	NSA.3.4-139,NSA.3.4-142	NSA.3.3-130
NSA.3.4-133	25	795	Myanmar	MYA	ALP	1977-05-01	1977-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	4	1	0		NSA.3.3-133
NSA.3.4-136	25	799	Myanmar	MYA	Arakan People's Liberation Party	1948-01-01	1957-12-31	1250	1250.1	1250.1-1	0	no	NA	1100	1100	1100	much weaker	yes	low	low	low	low	no	NA	NA	ethnic conflict	no	no	some	Bangladesh; India	no	NA		no	NA		no	1	NA	0		NSA.3.3-136
NSA.3.4-139	25	800	Myanmar	MYA	Mujahid Party	1948-1-1	1954-12-31	NA	NA	NA	0	no	NA	NA	NA	NA	weaker	yes	high	high	moderate	moderate	yes	much of northern Arakan	moderate	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	NA	NA	0		NSA.3.3-139
NSA.3.4-142	25	800	Myanmar	MYA	Mujahid Party	1955-1-1	1961-12-31	NA	NA	NA	0	no	NA	500	500	500	much weaker	yes	high	high	moderate	moderate	no	NA	NA	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	4	1	1	NSA.3.4-139	NSA.3.3-142
NSA.3.4-145	25	801	Myanmar	MYA	ANLP	1964-01-01	1972-12-31	NA	NA	NA	0	no	NA	120	120	120	much weaker	yes	moderate	low	low	low	no	NA	NA	secessionist conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	5	NA	0		NSA.3.3-145
NSA.3.4-148	25	802	Myanmar	MYA	Communist Party of Arakan	1964-01-01	1973-12-31	1250	1250.2	1250.2-1	0	explicit link	no	300	300	300	much weaker	yes	low	low	low	low	no	NA	NA	civil war	no	no	some	Bangladesh; India	no	NA		no	NA		no	5	NA	0		NSA.3.3-148
NSA.3.4-151	26	310	Myanmar	MYA	NMSP	1959-01-01	1963-01-01	1260	1260.1	1260.1-2	0	explicit link	no	100	100	100	much weaker	yes	moderate	low	low	low	no	NA	NA	ethnic conflict	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	5	NA	0		NSA.3.3-151
NSA.3.4-154	26	310	Myanmar	MYA	NMSP	1990-01-01	1990-12-31	1260	1260.1	1260.1-2	0	explicit link	no	3000	3000	3000	much weaker	yes	moderate	low	low	low	no	NA	NA	ethnic conflict	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	5	NA	1	NSA.3.4-151	NSA.3.3-154
NSA.3.4-157	26	326	Myanmar	MYA	BMA	1996-12-23	1996-12-31	1260	1260.2	1260.2-1	0	no	NA	300	300	300	much weaker	yes	moderate	low	low	low	no	NA	NA	ethnic conflict	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	1	NSA.3.4-151,NSA.3.4-154	NSA.3.3-157
NSA.3.4-160	26	683	Myanmar	MYA	MFL-MUF	1949-01-01	1951-12-31	NA	NA	NA	0	explicit link	no	NA	NA	NA	weaker	yes	low	moderate	low	low	NA	NA	NA	ethnic conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	6.1	NA	0		NSA.3.3-160
NSA.3.4-163	26	684	Myanmar	MYA	MPF	1952-01-01	1958-07-31	1260	1260.1	1260.1-1	0	explicit link	no	1111	1111	1111	much weaker	yes	moderate	low	low	low	yes	Parts of southeastern Burma (later Mon state)	low	ethnic conflict	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	1	NA	1	NSA.3.4-160	NSA.3.3-163
NSA.3.4-166	27	581	Costa Rica	COS	National Liberation Army	1948-03-03	1948-04-15	1270	1270	1270-1	0	explicit link	no	NA	NA	NA	stronger	yes	high	high	moderate	moderate	yes	Most of southern Costa Rica	moderate	civil war	no	no	no		no	NA		explicit	troops	Nicaragua; Honduras (military only)	no	4	2	0		NSA.3.3-166
NSA.3.4-169	29	405	India	IND	Naxalites/PWG	1990-01-01	2004-09-20	1290	1290.3	1290.3-1	0	explicit link	no	2000	1000	6100	much weaker	yes	moderate	low	low	low	no	NA	NA	communist rebellion	no	minor	no		alleged	military	Pakistan	no	NA		no	6.1	NA	1	NSA.3.4-178,NSA.3.4-181	NSA.3.3-169
NSA.3.4-172	29	406	India	IND	MCC	1992-04-06	2004-09-20	1290	1290.3	1290.3-2	0	explicit link	no	1000	1000	1000	much weaker	yes	moderate	low	low	low	no	NA	NA	communist rebellion	no	minor	no		no	NA		no	NA		no	6.1	NA	1	NSA.3.4-178,NSA.3.4-181	NSA.3.3-172
NSA.3.4-175	29	451	India	IND	CPI–Maoist	2005-01-30	2011-12-31	1290	1290.3	1290.3-1	0	explicit link	no	6500	6000	20000	weaker	yes	moderate	low	low	low	no	NA	NA	communist rebellion	no	minor	no	NA	alleged	military	Pakistan	no	NA	NA	no	NA	NA	1	NSA.3.4-169,NSA.3.4-172,NSA.3.4-178,NSA.3.4-181	NSA.3.3-175
NSA.3.4-178	29	689	India	IND	CPI	1948-09-18	1951-12-31	1290	1290.1	1290.1-1	0	explicit link	yes	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	communist rebellion	no	no	no		no	NA		no	NA		no	5	NA	0		NSA.3.3-178
NSA.3.4-181	29	690	India	IND	Naxalites/CPI [-Marxist]	1969-05-27	1971-12-31	1290	1290.2	1290.2-1	0	explicit link	no	20000	10000	20000	weaker	yes	moderate	moderate	low	low	no	NA	NA	communist rebellion	no	no	no		no	NA		no	NA		no	5	NA	1	NSA.3.4-178	NSA.3.3-181
NSA.3.4-184	31	693	United Kingdom, Australia, New Zealand	UKG	Communist Party of Malaya	1948-06-19	1957-08-30	1310	1310	1310-1	1	explicit link	no	NA	NA	NA	weaker	yes	moderate	low	low	low	yes	Parts of rural Malaysia	low	anti-colonial	no	no	no		no	NA		explicit	troops	New Zealand; Australia	no	7	NA	0		NSA.3.3-184
NSA.3.4-187	33	615	Yemen [North]	UKG	Opposition coalition	1948-02-22	1948-03-15	1330	1330.1	1330.1-1	0	no	NA	NA	NA	NA	stronger	yes	moderate	high	moderate	moderate	yes	Parts of Northwestern Yemen	moderate	civil war	no	no	no		no	NA		no	NA		no	4	2	0		NSA.3.3-187
NSA.3.4-190	33	616	Yemen [North], Egypt	YPR	Royalists	1962-10-01	1970-03-15	1330	1330.2	1330.2-1	0	explicit link	no	NA	NA	NA	weaker	yes	low	low	low	low	no	NA	NA	civil war	no	no	some	Saudi Arabia	explicit	troops	Saudi Arabia; UK	explicit	troops	Egypt; USSR	no	1	NA	0		NSA.3.3-190
NSA.3.4-193	33	617	Yemen [North]	YPR	National Democratic Front	1979-03-01	1982-05-31	1330	1330.3	1330.3-1	0	explicit link	yes	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	civil war	no	no	extensive	S. Yemen	explicit	military	South Yemen	explicit	military	Saudi Arabia; USSR	no	3	NA	0		NSA.3.3-193
NSA.3.4-196	33	784	Yemen	YEM	AQAP	2009-11-03	2011-12-31	NA	NA	NA	0	NA	NA	200	50	300	weaker	yes	low	low	low	low	no	NA	NA	islamist	explicit	major	no	NA	no	NA	NA	explicit	military	USA	major	NA	NA	0		NSA.3.3-196
NSA.3.4-199	34	304	Myanmar	MYA	KIO	1961-01-01	1992-12-01	1340	1340.2	1340.2-1	0	explicit link	no	6000	100	8000	weaker	yes	moderate	low	moderate	low	yes	Much of Kachin Region	moderate	autonomy conflict	tacit	no	some	China; India	explicit	military	China; India	no	NA		no	2	NA	0		NSA.3.3-199
NSA.3.4-202	34	304	Myanmar	MYA	NA	2011-06-17	2011-12-31	NA	NA	NA	NA	explicit link	no	7000	6000	8000	much weaker	yes	high	low	low	low	yes	Patrs of Kachin territory	high	ethnic conflict	no	no	no	NA	no	NA	NA	no	NA	NA	no	NA	NA	1	NSA.3.4-199	NA
NSA.3.4-205	34	753	Myanmar	MYA	PNDF	1949-11-15	1950-04-15	1340	1340.1	1340.1-1	0	no	NA	NA	NA	NA	much weaker	yes	moderate	low	low	low	no	NA	NA	autonomy conflict	NA	NA	NA	.	NA	NA	.	NA	NA	.	NA	4	1	0		NSA.3.3-202
NSA.3.4-208	36	228	Guatemala	GUA	URNG	1982-03-07	1995-12-31	1360	1360.3	1360.3-1	0	no	NA	1500	800	5000	weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	some	Mexico	no	NA	 	explicit	military	USA	no	1	NA	1	NSA.3.4-220,NSA.3.4-223,NSA.3.4-226,NSA.3.4-229	NSA.3.3-205
NSA.3.4-211	36	621	Guatemala	GUA	Military Faction	1949-07-16	1949-07-18	1360	1360.1	1360.1-1	0	no	NA	NA	NA	NA	weaker	yes	moderate	low	moderate	moderate	no	NA	NA	coup d'etat	no	no	no		no	NA		no	NA		no	4	1	0		NSA.3.3-208
NSA.3.4-214	36	622	Guatemala	GUA	Forces of Carlos Castillo Armas	1954-08-02	1954-08-02	1360	1360.2	1360.2-1	0	no	NA	5500	5000	6000	parity	yes	moderate	moderate	moderate	moderate	no	NA	NA	coup d'etat	no	no	extensive	Honduras 	explicit	military	US	no	NA		no	4	2	0		NSA.3.3-211
NSA.3.4-217	36	624	Guatemala	GUA	FAR	1963-07-01	1974-12-31	1360	1360.3	1360.3-2	0	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	no	.	no	NA	 	explicit	military	USA	no	5	NA	0		NSA.3.3-214
NSA.3.4-220	36	624	Guatemala	GUA	FAR	1981-01-01	1981-12-31	1360	1360.3	1360.3-2	0	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	no	.	no	NA	 	explicit	military	USA	no	6.1	NA	1	NSA.3.4-217	NSA.3.3-217
NSA.3.4-223	36	625	Guatemala	GUA	EGP	1975-01-01	1981-12-31	1360	1360.3	1360.3-4	0	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	no	.	no	NA	 	explicit	military	USA	no	6.1	NA	0		NSA.3.3-220
NSA.3.4-226	36	627	Guatemala	GUA	ORPA	1979-01-01	1981-12-31	1360	1360.3	1360.3-5	0	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	no	.	no	NA	 	explicit	military	USA	no	6.1	NA	0		NSA.3.3-223
NSA.3.4-229	36	694	Guatemala	GUA	MR-13/FAR II	1970-01-01	1981-12-31	1360	1360.3	1360.3-1	0	no	NA	NA	NA	NA	much weaker	yes	moderate	moderate	low	low	no	NA	NA	civil war	no	no	no	.	no	NA	 	explicit	military	USA	no	6.1	NA	0		NSA.3.3-226
NSA.3.4-232	37	377	Israel	ISR	Fatah	2000-11-01	2007-12-31	1370	1370.1	1370.1-1.2	0	no	NA	2000	2000	2000	much weaker	yes	moderate	moderate	low	low	yes	Palestinian Authority (parts of Gaza Strip and West Bank)	low	civil war	explicit	major	no	.	explicit	non-military	Jordan; Syria; Egypt; Iraq; Iran; Others	explicit	military	USA	minor	1	NA	1	NSA.3.4-277	NSA.3.3-229
NSA.3.4-235	37	380	Israel	ISR	PIJ	1995-01-01	1995-12-31	NA	NA	NA	0	no	NA	350	350	350	much weaker	yes	low	low	low	low	no	NA	NA	terrorist	no	no	some	Syria	no	NA	NA	explicit	military	United States	minor	5	NA	0		NSA.3.3-232
NSA.3.4-238	37	380	Israel	ISR	PIJ	2002-01-01	2011-12-31	NA	NA	NA	0	no	NA	500	500	500	much weaker	yes	low	low	low	low	no	NA	NA	terrorist	no	no	some	Syria and Iran	explicit	non-military	Iran	explicit	military	United States	minor	NA	NA	1	NSA.3.4-235	NSA.3.3-235
NSA.3.4-241	37	381	Israel	ISR	Hamas	1993-09-12	1994-12-31	1370	1370.1	1370.1-5	0	no	NA	400	300	500	much weaker	yes	moderate	moderate	low	low	no	NA	NA	terrorist	explicit	major	some	Syria; Lebanon; others	explicit	non-military	Iran; others	explicit	military	USA	minor	5	NA	0		NSA.3.3-238
NSA.3.4-244	37	381	Israel	ISR	Hamas	2001-01-01	2011-12-31	1370	1370.1	1370.1-5	0	no	NA	400	300	500	much weaker	yes	moderate	moderate	low	low	no	NA	NA	terrorist	explicit	major	some	Syria; Lebanon; others	explicit	non-military	Iran; others	explicit	military	USA	minor	5	NA	1	NSA.3.4-241	NSA.3.3-241
NSA.3.4-247	37	419	Israel	ISR	PFLP	1989-01-01	1989-12-31	1370	1370.1	1370.1-2	0	no	NA	900	800	1000	much weaker	yes	moderate	moderate	low	low	no	NA	NA	terrorist	tacit	no	some	Syria; Lebanon 	explicit	military	Syria	explicit	military	USA	minor	5	NA	0		NSA.3.3-244
