actorid,name data,name orig,name orig full,name orig fulleng,namechange,newname,newname full mt,newname fulleng,org,conflictid,dyadid,primary party,osid,osvcoalition,osvcoalitionid,nsid,nscoalition,nscoalitionid,splinter,name prev,actorid prev,split temp,name split temp,actorid split temp,alliance,name alliance,actorid alliance,join group,group name,actorid group,location,gwno loc,region
315,Government of Czechoslovakia,Government of Czechoslovakia,,Government of Czechoslovakia,0,,,,4,1-176,320,0,,0,,,0,,0,,,0,,,0,,,0,,,"Iraq, Kuwait","645, 690",2
316,Government of Czech Republic,Government of Czech Republic,,Government of Czech Republic ,0,,,,4,"1-137, 1-218, 1-224, 1-62","295, 327, 360, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia), United States of America, Iraq","700, 345, 2, 645","1, 2, 3, 5"
317,Government of Slovakia,Government of Slovakia,,Government of Slovakia,0,,,,4,"1-137, 1-224, 1-62","327, 360, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, United States of America, Iraq","700, 2, 645","3, 5, 2"
325,Government of Italy,Government of Italy,,Government of Italy,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-274, 1-62","12582, 295, 320, 327, 360, 412, 442, 423, 443, 448, 578, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4"
339,Government of Albania,Government of Albania,,Government of Albania,0,,,,4,"1-137, 1-16, 1-62","327, 412, 442, 443, 448, 578, 579",1,,0,,,0,,0,,,0,,,0,,,0,,,"Albania, United Kingdom, Afghanistan, Iraq","200, 339, 700, 645","1, 3, 2"
341,Government of Montenegro,Government of Montenegro,,Government of Montenegro,0,,,,4,1-137,"327, 412",0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
343,"Government of Macedonia, FYR","Government of Macedonia, FYR",,"Government of Macedonia, FYR",0,,,,4,"1-137, 1-223, 1-62","327, 341, 412, 442, 443, 448, 578",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Macedonia, FYR, Iraq","700, 343, 645","3, 1, 2"
344,Government of Croatia,Government of Croatia,,Government of Croatia,0,,,,4,"1-137, 1-195, 1-203, 1-224","291, 293, 301, 303, 327, 360, 412",1,344,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Croatia, Bosnia-Herzegovina, United States of America","700, 344, 346, 2","3, 1, 5"
345,Government of Serbia (Yugoslavia),Government of Yugoslavia,,Government of Yugoslavia,1,Government of Serbia (Yugoslavia),Government of Serbia (Yugoslavia),Government of Serbia (Yugoslavia),4,"1-189, 1-190, 1-194, 1-195, 1-218","272, 273, 281, 291, 292, 295, 300, 303",1,345,0,,,0,,0,,,0,,,0,,,0,,,"Serbia (Yugoslavia), Bosnia-Herzegovina, Croatia","345, 346, 344",1
346,Government of Bosnia-Herzegovina,Government of Bosnia-Herzegovina,,Government of Bosnia-Herzegovina,0,,,,4,"1-137, 1-194, 1-202, 1-203, 1-62","292, 293, 294, 300, 301, 327, 412, 442, 443, 448, 578",1,346,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Bosnia-Herzegovina, Iraq","700, 346, 645","3, 1, 2"
349,Government of Slovenia,Government of Slovenia,,Government of Slovenia,0,,,,4,1-137,"327, 412",0,,0,,,0,,0,,,0,,,0,,,0,,,Afghanistan,700,3
350,Government of Greece,Government of Greece,,Government of Greece,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-38, 1-4","295, 320, 327, 360, 412, 467, 618",1,,0,,,0,,0,,,0,,,0,,,0,,,"Greece, North Korea, South Korea, Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America","350, 731, 732, 700, 645, 690, 345, 2","1, 3, 5"
352,Government of Cyprus,Government of Cyprus,,Government of Cyprus,0,,,,4,1-127,492,1,,0,,,0,,0,,,0,,,0,,,0,,,"Cyprus, Turkey","352, 640","1, 2"
355,Government of Bulgaria,Government of Bulgaria,,Government of Bulgaria,0,,,,4,"1-137, 1-62","327, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq","700, 645","3, 2"
359,Government of Moldova,Government of Moldova,,Government of Moldova,0,,,,4,"1-199, 1-62","367, 442, 443, 448, 578",1,,0,,,0,,0,,,0,,,0,,,0,,,"Moldova, Iraq","359, 645","1, 2"
360,Government of Rumania,Government of Rumania,,Government of Rumania,0,,,,4,"1-137, 1-175, 1-224, 1-62","327, 357, 360, 412, 442, 443, 448, 578",1,360,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Rumania, United States of America, Iraq","700, 360, 2, 645","3, 1, 5, 2"
365,Government of Russia (Soviet Union),Government of Soviet Union,,Government of Soviet Union,1,Government of Russia (Soviet Union),Government of Russia (Soviet Union),Government of Russia (Soviet Union),4,"1-109, 1-11, 1-12, 1-13, 1-137, 1-14, 1-181, 1-182, 1-198, 1-200, 1-204, 1-206, 1-220, 1-256, 1-257, 1-281, 1-282, 1-283, 1-38, 1-53, 1-6, 1-7","14124, 14184, 14210, 260, 297, 348, 350, 353, 368, 370, 373, 411, 412, 413, 423, 468, 478, 479, 481, 482, 483, 533, 603, 618, 731, 732, 733, 735, 737, 758, 760, 773",1,365,0,,,0,,0,,,0,,,0,,,0,,,"Iran, Russia (Soviet Union), North Korea, South Korea, Hungary, China, Afghanistan, Georgia, Tajikistan, Ukraine","630, 365, 731, 732, 310, 710, 700, 372, 702, 369","2, 1, 3"
366,Government of Estonia,Government of Estonia,,Government of Estonia,0,,,,4,"1-137, 1-224, 1-274, 1-62","12582, 327, 360, 412, 442, 443, 448, 578, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, United States of America, Iraq, Mali","700, 2, 645, 432","3, 5, 4, 2"
367,Government of Latvia,Government of Latvia,,Government of Latvia,0,,,,4,"1-137, 1-62","327, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq","700, 645","3, 2"
368,Government of Lithuania,Government of Lithuania,,Government of Lithuania,0,,,,4,"1-137, 1-224, 1-62","327, 360, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, United States of America, Iraq","700, 2, 645","3, 5, 2"
369,Government of Ukraine,Government of Ukraine,,Government of Ukraine,0,,,,4,"1-137, 1-280, 1-281, 1-282, 1-283, 1-62","14085, 14124, 14184, 14210, 327, 412, 442, 443, 448, 578",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Ukraine","700, 645, 369","3, 2, 1"
371,Government of Armenia,Government of Armenia,,Government of Armenia,0,,,,4,"1-137, 1-193, 1-62","327, 361, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Azerbaijan, Iraq","700, 373, 645","3, 1, 2"
372,Government of Georgia,Government of Georgia,,Government of Georgia,0,,,,4,"1-137, 1-185, 1-197, 1-198, 1-62","239, 259, 289, 297, 327, 412, 442, 443, 448, 578",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Georgia, Iraq","700, 372, 645","3, 1, 2"
373,Government of Azerbaijan,Government of Azerbaijan,,Government of Azerbaijan,0,,,,4,"1-137, 1-193, 1-201, 1-62","327, 361, 362, 407, 412, 442, 443, 448, 578",1,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Azerbaijan, Iraq","700, 373, 645","3, 1, 2"
375,Government of Finland,Government of Finland,,Government of Finland,0,,,,4,"1-137, 1-274","12582, 327, 412, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali","700, 432","3, 4"
380,Government of Sweden,Government of Sweden,,Government of Sweden,0,,,,4,"1-137, 1-274","12582, 327, 412, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Mali","700, 432","3, 4"
385,Government of Norway,Government of Norway,,Government of Norway,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-274, 1-62","12582, 295, 320, 327, 360, 412, 442, 443, 448, 578, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America, Mali","700, 645, 690, 345, 2, 432","3, 2, 1, 5, 4"
390,Government of Denmark,Government of Denmark,,Government of Denmark,0,,,,4,"1-137, 1-176, 1-218, 1-224, 1-62","295, 320, 327, 360, 412, 442, 443, 448, 578",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Iraq, Kuwait, Serbia (Yugoslavia), United States of America","700, 645, 690, 345, 2","3, 2, 1, 5"
395,Government of Iceland,Government of Iceland,,Government of Iceland,0,,,,4,"1-137, 1-218","295, 327, 412",0,,0,,,0,,0,,,0,,,0,,,0,,,"Afghanistan, Serbia (Yugoslavia)","700, 345","3, 1"
404,Government of Guinea-Bissau,Government of Guinea-Bissau,,Government of Guinea-Bissau,0,,,,4,"1-216, 1-274","12582, 58, 835, 862, 863, 865",1,,0,,,0,,0,,,0,,,0,,,0,,,"Guinea-Bissau, Mali","404, 432",4
420,Government of Gambia,Government of Gambia,,Government of Gambia,0,,,,4,1-149,547,1,,0,,,0,,0,,,0,,,0,,,0,,,Gambia,420,4
432,Government of Mali,Government of Mali,,Government of Mali,0,,,,4,"1-160, 1-177, 1-187, 1-191, 1-274","12582, 130, 131, 4, 538, 650, 835, 836, 837, 862, 863, 865, 96, 97",1,432,0,,,0,,0,,,0,,,0,,,0,,,"Burkina Faso, Mali, Sierra Leone, Algeria","432, 439, 451, 615",4
433,Government of Senegal,Government of Senegal,,Government of Senegal,0,,,,4,"1-149, 1-176, 1-180, 1-216, 1-274","12582, 129, 320, 547, 58, 835, 862, 863, 865",1,433,0,,,0,,0,,,0,,,0,,,0,,,"Gambia, Senegal, Iraq, Kuwait, Guinea-Bissau, Mali","420, 433, 645, 690, 404, 432","4, 2"
434,Government of Benin,Government of Benin,,Government of Benin,0,,,,4,1-274,"12582, 835, 862, 863, 865",0,,0,,,0,,0,,,0,,,0,,,0,,,Mali,432,4
435,Government of Mauritania,Government of Mauritania,,Government of Mauritania,0,,,,4,"1-253, 1-267, 1-274","12582, 745, 806, 835, 862, 863, 865",1,435,0,,,0,,0,,,0,,,0,,,0,,,"Mauritania, Senegal, Mali","435, 433, 432",4
436,Government of Niger,Government of Niger,,Government of Niger,0,,,,4,"1-100, 1-176, 1-178, 1-191, 1-212, 1-255, 1-274","111, 113, 12582, 320, 4, 749, 761, 762, 793, 835, 862, 863, 865",1,436,0,,,0,,0,,,0,,,0,,,0,,,"Niger, Iraq, Kuwait, Algeria, Mali, Nigeria","436, 645, 690, 615, 432, 475","4, 2"
437,Government of Ivory Coast,Government of Ivory Coast,,Government of Ivory Coast,0,,,,4,"1-225, 1-274","12582, 245, 439, 820, 835, 862, 863, 865, 89, 91",1,437,0,,,0,,0,,,0,,,0,,,0,,,"Ivory Coast, Mali","437, 432",4
438,Government of Guinea,Government of Guinea,,Government of Guinea,0,,,,4,"1-111, 1-187, 1-216, 1-274","12582, 130, 131, 132, 57, 58, 835, 862, 863, 865",1,438,0,,,0,,0,,,0,,,0,,,0,,,"Sierra Leone, Guinea-Bissau, Guinea, Mali","451, 404, 438, 432",4
439,Government of Burkina Faso,Government of Burkina Faso,,Government of Burkina Faso,0,,,,4,"1-160, 1-165, 1-274","12582, 487, 538, 835, 862, 863, 865",1,,0,,,0,,0,,,0,,,0,,,0,,,"Burkina Faso, Mali","432, 439",4
450,Government of Liberia,Government of Liberia,,Government of Liberia,0,,,,4,"1-146, 1-274","12582, 352, 525, 835, 862, 863, 865, 93, 94, 95",1,450,0,,,0,,0,,,0,,,0,,,0,,,"Liberia, Guinea, Mali","450, 438, 432",4
451,Government of Sierra Leone,Government of Sierra Leone,,Government of Sierra Leone,0,,,,4,"1-141, 1-176, 1-187, 1-274","12582, 130, 131, 132, 320, 714, 770, 835, 862, 863, 865",1,451,0,,,0,,0,,,0,,,0,,,0,,,"Iraq, Kuwait, Sierra Leone, Somalia, Mali","645, 690, 451, 520, 432","2, 4"
452,Government of Ghana,Government of Ghana,,Government of Ghana,0,,,,4,"1-141, 1-187, 1-274, 1-98","12582, 130, 131, 502, 503, 504, 770, 835, 862, 863, 865",1,,0,,,0,,0,,,0,,,0,,,0,,,"Ghana, Sierra Leone, Somalia, Mali","452, 451, 520, 432",4
461,Government of Togo,Government of Togo,,Government of Togo,0,,,,4,"1-163, 1-274","12582, 471, 835, 862, 863, 865",1,461,0,,,0,,0,,,0,,,0,,,0,,,"Togo, Mali","461, 432",4
471,Government of Cameroon,Government of Cameroon,,Government of Cameroon,0,,,,4,"1-100, 1-158, 1-210","16, 539, 692, 793",1,471,0,,,0,,0,,,0,,,0,,,0,,,"Cameroon, Nigeria","471, 475",4
475,Government of Nigeria,Government of Nigeria,,Government of Nigeria,0,,,,4,"1-100, 1-107, 1-141, 1-154, 1-187, 1-210, 1-249, 1-250, 1-274","12582, 130, 131, 132, 16, 446, 473, 494, 528, 535, 770, 793, 835, 862, 863, 865",1,475,0,,,0,,0,,,0,,,0,,,0,,,"Nigeria, Chad, Sierra Leone, Cameroon, Somalia, Mali","475, 483, 451, 471, 520, 432",4
481,Government of Gabon,Government of Gabon,,Government of Gabon,0,,,,4,1-87,583,1,,0,,,0,,0,,,0,,,0,,,0,,,Gabon,481,4
482,Government of Central African Republic,Government of Central African Republic,,Government of Central African Republic,0,,,,4,"1-118, 1-222","12380, 151, 17, 287, 628, 782, 832",1,482,0,,,0,,0,,,0,,,0,,,0,,,"Uganda, Central African Republic, Chad","500, 482, 483",4
483,Government of Chad,Government of Chad,,Government of Chad,0,,,,4,"1-100, 1-113, 1-154, 1-166, 1-191, 1-214, 1-222, 1-274, 1-86, 1-91","12582, 18, 189, 19, 20, 21, 22, 23, 24, 25, 26, 27, 36, 37, 38, 4, 40, 41, 433, 434, 455, 486, 535, 633, 634, 656, 658, 659, 660, 661, 662, 663, 664, 767, 777, 783, 793, 807, 832, 835, 862, 863, 865",1,483,0,,,0,,0,,,0,,,0,,,0,,,"Chad, Nigeria, Libya, Central African Republic, Sudan, Congo, DR Congo (Zaire), Algeria, Mali","483, 475, 620, 482, 625, 484, 490, 615, 432",4
484,Government of Congo,Government of Congo,,Government of Congo,0,,,,4,1-214,"189, 36, 37, 38",1,484,0,,,0,,0,,,0,,,0,,,0,,,Congo,484,4
490,Government of DR Congo (Zaire) ,Government of Zaire,,Government of Zaire,1,Government of DR Congo (Zaire) ,Government of DR Congo (Zaire) ,Government of DR Congo (Zaire) ,4,"1-118, 1-131, 1-179, 1-254, 1-68, 1-69, 1-86, 1-91","11377, 12463, 127, 151, 153, 39, 40, 41, 568, 587, 588, 646, 651, 664, 679, 680, 681, 828, 831, 856, 858",1,490,0,,,0,,0,,,0,,,0,,,0,,,"DR Congo (Zaire), Angola, Chad, Uganda, Zambia, Rwanda","490, 540, 483, 500, 551, 517",4
500,Government of Uganda,Government of Uganda,,Government of Uganda,0,,,,4,"1-118, 1-141, 1-252, 1-270, 1-86","148, 149, 151, 152, 153, 39, 40, 41, 431, 554, 555, 556, 574, 575, 681, 700, 701, 703, 704, 706, 708, 741, 770, 831, 859",1,500,0,,,0,,0,,,0,,,0,,,0,,,"Uganda, DR Congo (Zaire), Tanzania, Somalia, South Sudan","500, 490, 510, 520, 626",4
501,Government of Kenya,Government of Kenya,,Government of Kenya,0,,,,4,"1-141, 1-153","536, 770",1,501,0,,,0,,0,,,0,,,0,,,0,,,"Kenya, Somalia","501, 520",4
510,Government of Tanzania,Government of Tanzania,,Government of Tanzania,0,,,,4,"1-118, 1-136, 1-252","556, 574, 700, 701, 703, 704, 741, 99",1,510,0,,,0,,0,,,0,,,0,,,0,,,"Uganda, Mozambique, Tanzania","500, 541, 510",4
